"test_ligand","auroc","aupr","aupr_corrected","pearson","rank"
"PLTP",0.533231809078771,0.0320874956391424,0.00861943827277991,0.00869371092312339,61
"ALOX5AP",0.538231530930128,0.0320439342340247,0.00857587686766221,0.0142681999958043,62
"TGFBI",0.534471888443849,0.0319690149307697,0.00850095756440726,0.0127522483354902,63
"LGALS1",0.540530893042574,0.0319452083572052,0.00847715099084279,0.0263262434222705,64
"VCAN",0.549373701973001,0.0319404214291813,0.00847236406281885,0.0135383370207489,65
"PTPRC",0.534314270879689,0.0318911530774967,0.00842309571113429,0.0162587096821057,66
"B2M",0.541715342679128,0.0318741275002268,0.00840607013386436,0.00731762048248713,67
"CFH",0.547595868565494,0.0317700376362072,0.00830198026984479,0.0205309480366541,68
"ITGB2",0.548217067200712,0.0317173598033135,0.00824930243695103,0.0184439898219627,69
"MMP14",0.533217901646639,0.0316797425527171,0.00821168518635467,0.0120160382940024,70
"HLA-DRB5",0.539728897789647,0.0316167081366879,0.00814865077032547,0.0195647471381465,71
"ANXA2",0.55647344607625,0.0315737852127669,0.00810572784640449,0.0104790637389997,72
"FBN1",0.539698765020026,0.0314241074069814,0.00795605004061899,0.00775388626096401,73
"COL1A2",0.53417751446373,0.0313726894995574,0.00790463213319499,0.0115020430631743,74
"MDK",0.524467808930425,0.0313583283073028,0.00789027094094038,0.00863323688884811,75
"HLA-B",0.526734720367896,0.031311583761587,0.00784352639522454,0.0111614797686817,76
"FBLN1",0.510168650793651,0.0312232257311341,0.00775516836477168,0.0133135812194656,77
"HLA-DRA",0.537054035009642,0.0312153946367756,0.00774733727041315,0.010738801309271,78
"HLA-F",0.546149495623795,0.0311777686165126,0.00770971125015012,0.0148062561662292,79
"CD47",0.513689549028335,0.0311112917233346,0.00764323435697211,0.00176413852166127,80
"TIMP2",0.540720961281709,0.031012944791791,0.00754488742542851,0.0173797519028942,81
"MFGE8",0.545152796321021,0.0309705618770637,0.0075025045107012,0.00853582298029029,82
"HLA-DMA",0.568072244474115,0.0309469476770409,0.00747889031067847,0.0178709471101331,83
"MMP2",0.515863744251595,0.030868136787198,0.0074000794208355,0.00584828588721403,84
"SPP1",0.543590528111556,0.030850557797572,0.00738250043120953,0.0046216634944064,85
"ADAM9",0.531678812490729,0.0307656693977152,0.00729761203135278,0.00653826593841608,86
"GRN",0.535417593828808,0.0306840964691469,0.00721603910278447,-0.000513633303242346,87
"THY1",0.540605066013945,0.0306471957273192,0.00717913836095677,0.0112293656824296,88
"HLA-DQB1",0.539935191366267,0.0304516583392946,0.00698360097293218,0.00525412612206813,89
"HLA-DPB1",0.532084445927903,0.0304193517528096,0.00695129438644718,0.010532021387949,90
"LRPAP1",0.528728118973446,0.0303682351443496,0.00690017777798713,0.007606225221859,91
"CD52",0.533591084408841,0.0302180742978874,0.00675001693152497,0.00835151768042032,92
"ADAM10",0.54066069574247,0.0301732400309498,0.00670518266458738,0.0153379007975698,93
"TNFSF10",0.538746105919004,0.0301552059954406,0.00668714862907811,-0.0159332418462836,94
"GPI",0.530944036493103,0.0301370202118505,0.00666896284548803,0.000275505035399843,95
"COL6A3",0.510773624091381,0.0299413735565452,0.00647331619018272,0.0050242817224355,96
"DCN",0.53599707016763,0.0297761610226708,0.00630810365630836,0.000814878447201465,97
"VEGFA",0.531066885476933,0.0296767852210043,0.00620872785464182,0.00898997507688247,98
"FAM3C",0.527277110221036,0.029657078323347,0.00618902095698456,0.00215301803805487,99
"COL3A1",0.511292834890966,0.0294821471901231,0.0060140898237607,0.0060222116965516,100
"HLA-DMB",0.523350578549177,0.0294165191393304,0.00594846177296792,0.00441083922193495,101
"HLA-DRB1",0.529738725708351,0.0289172908766619,0.00544923351029947,-0.00210145653282349,102
"SERPINE1",0.515731623646342,0.0288349579342908,0.00536690056792838,-0.000509542881986799,103
"COL6A1",0.523967141373684,0.0287793603076086,0.00531130294124617,0.00055214711740939,104
"TNFSF12",0.543660065272214,0.0286537744343733,0.00518571706801084,-0.0123079372520942,105
"MIF",0.543984572021954,0.02864722510199,0.00517916773562753,-0.0119101466711361,106
"GAS6",0.500217883103396,0.028528443015615,0.00506038564925251,0.00838174035047655,107
"TIMP3",0.522761830588933,0.0282036559274858,0.00473559856112334,-0.00265187021985623,108
"HSP90B1",0.510653093012904,0.0279288883167713,0.00446083095040882,-0.00443156004387493,109
"HLA-DQA2",0.523206868417148,0.0278547440885632,0.00438668672220079,-0.00152758992628135,110
"HLA-DQA1",0.507829884290165,0.027715088575166,0.00424703120880358,-0.0101869656737977,111
"INHBA",0.503541759382879,0.0271666620354674,0.00369860466910496,0.0224955552939769,112
"CALR",0.517486278000297,0.0266822015620128,0.00321414419565039,-0.0203076956730199,113
"HMGB1",0.535185803293282,0.0265718556819342,0.00310379831557173,-0.0165227751640988,114
"PSAP",0.466754283489097,0.0256357955791605,0.00216773821279801,-0.0186250485803467,115
"PLAU",0.493094959946595,0.0237404197374683,0.000272362371105884,-0.0283679622511087,116
