"pathway","group","outdeg","indeg"
"THY1","TAM_other",0,0
"THY1","TIM",0,0
"THY1","Tumor",0,0
"LAIR1","Endothelial",0,0
"LAIR1","MSC",0,0
"LAIR1","Osteoclast",0,0.00604218339862508
"LAIR1","Pericyte",0,0
"LAIR1","T_NK",0,0
"LAIR1","TAM_CLEC_LAM",0.0138913373221544,0.0079217336618333
"LAIR1","TAM_other",0.0117021031393142,0.00657488366040209
"LAIR1","TIM",0,0.00505463974060816
"LAIR1","Tumor",0,0
"NOTCH","Endothelial",0,0.00625698445989717
"NOTCH","MSC",0,0
"NOTCH","Osteoclast",0,0
"NOTCH","Pericyte",0.0237438481528315,0.0174868636929343
"NOTCH","T_NK",0,0
"NOTCH","TAM_CLEC_LAM",0,0
"NOTCH","TAM_other",0,0
"NOTCH","TIM",0,0
"NOTCH","Tumor",0,0
"COMPLEMENT","Endothelial",0,0
"COMPLEMENT","MSC",0,0
"COMPLEMENT","Osteoclast",0,0
"COMPLEMENT","Pericyte",0,0
"COMPLEMENT","T_NK",0,0
"COMPLEMENT","TAM_CLEC_LAM",0.0102830641199269,0.0156686590247193
"COMPLEMENT","TAM_other",0,0.00575237225250537
"COMPLEMENT","TIM",0,0
"COMPLEMENT","Tumor",0.0111379671572978,0
"Cholesterol","Endothelial",0,0
"Cholesterol","MSC",0,0
"Cholesterol","Osteoclast",0,0
"Cholesterol","Pericyte",0,0
"Cholesterol","T_NK",0,0.0162866409730813
"Cholesterol","TAM_CLEC_LAM",0.0132398782903657,0
"Cholesterol","TAM_other",0.00304676268271556,0
"Cholesterol","TIM",0,0
"Cholesterol","Tumor",0,0
"ICAM","Endothelial",0.00311542708911939,0
"ICAM","MSC",0,0
"ICAM","Osteoclast",0,0
"ICAM","Pericyte",0,0
"ICAM","T_NK",0,0
"ICAM","TAM_CLEC_LAM",0.00375148913022287,0.0138416298718526
"ICAM","TAM_other",0.00328176796845449,0
"ICAM","TIM",0.00369294568405585,0
"ICAM","Tumor",0,0
"ANGPT","Endothelial",0,0.00568272416573591
"ANGPT","MSC",0,0
"ANGPT","Osteoclast",0,0.00292932830532738
"ANGPT","Pericyte",0.00861205247106329,0
"ANGPT","T_NK",0,0
"ANGPT","TAM_CLEC_LAM",0,0
"ANGPT","TAM_other",0,0
"ANGPT","TIM",0,0
"ANGPT","Tumor",0,0
"GAS","Endothelial",0.00833745587780733,0
"GAS","MSC",0,0
"GAS","Osteoclast",0,0
"GAS","Pericyte",0,0.00313023213361466
"GAS","T_NK",0,0
"GAS","TAM_CLEC_LAM",0,0.00520722374419267
"GAS","TAM_other",0,0
"GAS","TIM",0,0
"GAS","Tumor",0,0
"LCK","Endothelial",0,0
"LCK","MSC",0,0
"LCK","Osteoclast",0,0
"LCK","Pericyte",0,0
"LCK","T_NK",0.00701306380216795,0.00701306380216795
"LCK","TAM_CLEC_LAM",0,0
"LCK","TAM_other",0,0
"LCK","TIM",0,0
"LCK","Tumor",0,0
"TWEAK","Endothelial",0,0
"TWEAK","MSC",0,0.00244268075974115
"TWEAK","Osteoclast",0,0.00205394805896659
"TWEAK","Pericyte",0,0
"TWEAK","T_NK",0,0
"TWEAK","TAM_CLEC_LAM",0.00693898005629134,0
"TWEAK","TAM_other",0,0
"TWEAK","TIM",0,0
"TWEAK","Tumor",0,0.0024423512375836
"GAP","Endothelial",0,0
"GAP","MSC",0.00288035849715854,0.00479154074023783
"GAP","Osteoclast",0,0
"GAP","Pericyte",0.00317887978092286,0.00126769753784357
"GAP","T_NK",0,0
"GAP","TAM_CLEC_LAM",0,0
"GAP","TAM_other",0,0
"GAP","TIM",0,0
"GAP","Tumor",0,0
"CDH5","Endothelial",0.00569509579510175,0.00569509579510175
"CDH5","MSC",0,0
"CDH5","Osteoclast",0,0
"CDH5","Pericyte",0,0
"CDH5","T_NK",0,0
"CDH5","TAM_CLEC_LAM",0,0
"CDH5","TAM_other",0,0
"CDH5","TIM",0,0
"CDH5","Tumor",0,0
"FGF","Endothelial",0,0
"FGF","MSC",0.00527076255887298,0.00527076255887298
"FGF","Osteoclast",0,0
"FGF","Pericyte",0,0
"FGF","T_NK",0,0
"FGF","TAM_CLEC_LAM",0,0
"FGF","TAM_other",0,0
"FGF","TIM",0,0
"FGF","Tumor",0,0
