"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"MSC","MSC","COL1A2","ITGA1_ITGB1",0.0477968344199201,0,"COL1A2_ITGA1_ITGB1","COL1A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial","MSC","COL4A1","ITGA1_ITGB1",0.0081716467529951,0,"COL4A1_ITGA1_ITGB1","COL4A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial","MSC","COL4A2","ITGA1_ITGB1",0.00481006208541017,0,"COL4A2_ITGA1_ITGB1","COL4A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"MSC","MSC","COL6A1","ITGA1_ITGB1",0.0244175265100629,0,"COL6A1_ITGA1_ITGB1","COL6A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Pericyte","MSC","COL6A1","ITGA1_ITGB1",0.0066116124506743,0,"COL6A1_ITGA1_ITGB1","COL6A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"MSC","MSC","COL6A2","ITGA1_ITGB1",0.0276725727923022,0,"COL6A2_ITGA1_ITGB1","COL6A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Pericyte","MSC","COL6A2","ITGA1_ITGB1",0.00818674676167525,0,"COL6A2_ITGA1_ITGB1","COL6A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Tumor","MSC","COL6A2","ITGA1_ITGB1",0.00746561791189704,0,"COL6A2_ITGA1_ITGB1","COL6A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"MSC","MSC","COL6A3","ITGA1_ITGB1",0.00850882456200062,0,"COL6A3_ITGA1_ITGB1","COL6A3 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"MSC","Pericyte","FN1","ITGA8_ITGB1",0.00749963616578869,0,"FN1_ITGA8_ITGB1","FN1 - (ITGA8+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512"
"Endothelial","MSC","LAMA4","ITGA1_ITGB1",0.00829373305219281,0,"LAMA4_ITGA1_ITGB1","LAMA4 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"MSC","MSC","LAMA4","ITGA1_ITGB1",0.00945596527211446,0,"LAMA4_ITGA1_ITGB1","LAMA4 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"MSC","MSC","LAMB1","ITGA1_ITGB1",0.00558245854798773,0,"LAMB1_ITGA1_ITGB1","LAMB1 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"MSC","MSC","LAMC1","ITGA1_ITGB1",0.00604996217340573,0,"LAMC1_ITGA1_ITGB1","LAMC1 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelial","Endothelial","LAMA4","ITGA6_ITGB1",0.00782459021539999,0,"LAMA4_ITGA6_ITGB1","LAMA4 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"MSC","Endothelial","LAMA4","ITGA6_ITGB1",0.00892167111357073,0,"LAMA4_ITGA6_ITGB1","LAMA4 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"MSC","Endothelial","LAMB1","ITGA6_ITGB1",0.00526586715412068,0,"LAMB1_ITGA6_ITGB1","LAMB1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"MSC","Endothelial","LAMC1","ITGA6_ITGB1",0.00570700995656256,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
