,TAM_corr,TAM_pval,TAM_qval,TAM_ci_low,TAM_ci_high
P2RY2,0.0035057978942939745,0.7274729550528809,0.8489322844091526,-0.016210076643640495,0.023218947258035
BCAS2,0.0034790697555205754,0.7294688777955958,0.8493157182174071,-0.016236798073493708,0.023192233186514723
MT-ATP8,0.00347878241535469,0.7294903449001016,0.8493157182174071,-0.016237085341382507,0.023191945997425533
RELB,0.0034784792134609334,0.729512997259788,0.8493157182174071,-0.01623738846700582,0.023191642954944663
MTRNR2L2,0.0034506002646046995,0.7315968532113932,0.8503313579531285,-0.016265260387424704,0.02316377864837852
CYP46A1,0.003447777677266485,0.7318079426405437,0.8503313579531285,-0.016268082261464905,0.023160957541782698
FAM110A,0.003423742147071536,0.7336062795489184,0.850589056603156,-0.01629211170489976,0.02313693460801892
RP11-326G21.1,0.0034161202375265144,0.7341768562282429,0.8507536833701472,-0.016299731679515546,0.023129316688175375
IL11RA,0.003394823618475007,0.7357718997593272,0.8516077090508831,-0.01632102287998055,0.023108031204740715
PSKH1,0.0033330949427773484,0.740401581641694,0.8550522135853508,-0.016382735748777147,0.023046334704871444
SLC25A53,0.003307481581212445,0.7423253708349595,0.8557002677743291,-0.016408342507416424,0.023020734650091617
PTCD1,0.0032448900850680805,0.7470332987314272,0.8601282470892593,-0.016470917759137768,0.022958175563023448
SPOCK1,0.003217524479149986,0.749094630697497,0.8610033827067353,-0.016498276214314517,0.0229308240781619
RAMP2,0.0031778772479483025,0.7520842624889293,0.8635187788195469,-0.016537913033168265,0.022891197253167378
ING5,0.0031291745457679735,0.7557618214456239,0.8657817834349096,-0.01658660285999581,0.02284251953321291
AC091814.2,0.00312363297723595,0.7561806198878781,0.8657817834349096,-0.01659214295759889,0.022836980801325533
MPP7,0.003121986104434992,0.7563050944464147,0.8657817834349096,-0.016593789393028018,0.022835334771300456
CTC-444N24.8,0.003103295606291911,0.7577182090318232,0.8668995071632097,-0.016612474919909012,0.022816653830402243
RP13-1032I1.7,0.0030513722931287475,0.7616481620188873,0.8693913752774532,-0.016664384350341715,0.022764756995589667
RGCC,0.003042597329116202,0.7623129290232383,0.8696500943167402,-0.016673156957694717,0.02275598649588507
SEMA3C,0.0030195236732885817,0.7640617609805527,0.8697355714035314,-0.016696224402231508,0.022732924564418763
POFUT2,0.003018485556487181,0.7641404718023974,0.8697355714035314,-0.01669726223908467,0.02273188697461996
AP003419.16,0.0029885544162036003,0.7664109189672298,0.8711562631413875,-0.016727185289587762,0.022701971010690734
SLCO4C1,0.0029846757454680822,0.7667052854952161,0.8711562631413875,-0.016731062909412415,0.022698094304021494
MROH6,0.0029707581087706574,0.767761822782441,0.8716892825060968,-0.016744976770297935,0.02268418371000283
ANKRD13D,0.0029630902418915956,0.7683441023557955,0.8716892825060968,-0.016752642553645974,0.022676519719998532
RP11-554J4.1,0.002953266713934524,0.769090268660806,0.8717215288835631,-0.01676246340894386,0.022666701155433202
XIST,0.002949208930579959,0.7693985484151147,0.8717215288835631,-0.016766520087198658,0.022662645421186227
CYB5D2,0.002900357668981807,0.7731127460839058,0.8749309013549333,-0.0168153579936623,0.022613818777668736
OAS3,0.0028840552236753213,0.7743533948438748,0.8750720079043591,-0.01683165596121157,0.022597524526879915
STEAP4,0.0028802921332294145,0.774639855558541,0.8750720079043591,-0.0168354180165693,0.022593763326485213
RP11-443B7.1,0.0028755511485357055,0.7750008009550948,0.8750720079043591,-0.016840157696397302,0.022589024722205826
AC079922.3,0.002863758419108924,0.7758988275490587,0.8755879321687785,-0.016851947176256907,0.02257723790998191
PLIN5,0.002846042161126558,0.7772484988785993,0.8762959091968654,-0.01686965854209893,0.02255953053113285
PHF13,0.00284393442761844,0.7774091164209974,0.8762959091968654,-0.016871765692757175,0.02255742385316711
RABGEF1,0.002823574020271953,0.7789611479048429,0.8765570229801326,-0.016892120460839634,0.022537073633196878
KCNJ3,0.0028008946244144216,0.7806909888633083,0.8780009138207746,-0.016914793555898467,0.02251440556579358
ZHX1-C8ORF76,0.0027830135751474097,0.78205560825829,0.8785918716799633,-0.016932669623150126,0.022496533433895908
SLC44A2,0.0027708154447834013,0.7829869123435038,0.8785918716799633,-0.016944864347640903,0.022484341379571424
RP11-443B7.3,0.0027627286131011635,0.7836044981038267,0.8787880953311277,-0.016952948918143522,0.02247625857280777
CLPTM1L,0.002742690119653876,0.7851354106783538,0.8794895210830442,-0.01697298179746806,0.02245623004166766
C12orf79,0.0027344346721275884,0.7857663573457655,0.8794895210830442,-0.016981234927487227,0.022447978693804795
IPP,0.002729155153085876,0.7861699337940767,0.8794895210830442,-0.016986512963029665,0.022442701795169464
LYPD2,0.002724158241684948,0.7865519601002868,0.8794895210830442,-0.01699150846932949,0.022437707362895253
BTBD9,0.0026053207875387833,0.7956523234566821,0.8873545428556977,-0.0171103122170474,0.022318928577824054
GS1-124K5.3,0.0025646321698301394,0.7987746525430277,0.8899951709097998,-0.017150989166114697,0.02227825991985499
ATHL1,0.002561983286221467,0.7989780325245659,0.8899951709097998,-0.017153637287816523,0.02227561233339019
PARP8,0.0025504903234796665,0.7998606143137728,0.8900052136061442,-0.017165126941597247,0.022264124995487116
ALYREF,0.0025501887198587344,0.7998837788782676,0.8900052136061442,-0.017165428458312783,0.0222638235394057
TRIM28,0.0025213998388425997,0.8020957066201919,0.8914850672516177,-0.017194209027467218,0.022235048724933284
