,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
RP11-452L6.1,-0.050288670821239306,0.06776873273105352,0.23669226505331195,-0.10396177904015871,0.0036764960814372884
CWF19L2,-0.050374689921092355,0.06729913100516027,0.23620575163462412,-0.10404708377875986,0.0035902596563165837
C1orf228,-0.05044435861066455,0.06692075342621566,0.2354619102033514,-0.10411617331324163,0.0035204143621021737
ACPP,-0.05052315864120645,0.06649489205589044,0.2348332619074198,-0.10419431765566,0.0034414139451176408
GABARAP,-0.05055115972830091,0.06634410266800993,0.2348332619074198,-0.1042220855885938,0.003413341489773525
ZNF331,-0.0505514003767574,0.06634280796570627,0.2348332619074198,-0.10422232423290155,0.003413100227591533
FOXJ2,-0.050666478239376284,0.06572605943626417,0.2338567657844605,-0.10433644300537973,0.003297728162208022
CHD3,-0.050760794802968516,0.0652241047580851,0.2325061895691589,-0.10442997245531864,0.003203169401993484
RP11-326G21.1,-0.050912510390975094,0.06442329733838895,0.2311227308379394,-0.10458041991759341,0.0030510621970147064
FASTKD5,-0.05120233366452315,0.0629160346414212,0.2281306599593517,-0.1048678138543409,0.002760483873469967
CRADD,-0.05126664160172453,0.06258556956514907,0.22753197448640655,-0.1049315815388688,0.002696007165333062
C15orf39,-0.05142708740977108,0.061767317108835235,0.22525509118385212,-0.10509067751347485,0.0025351383241496426
CD83,-0.05150790596281468,0.06135851344418312,0.2246265424738881,-0.10517081509828183,0.0024541056262768327
C1orf233,-0.05154739119501575,0.06115960063112856,0.22433058146552945,-0.10520996737882557,0.002414515512405343
ZNF212,-0.05178739465106653,0.05996198795650865,0.22036320525602793,-0.10544794347300296,0.002173870914115251
DNAJA4,-0.05180410609206189,0.05987932639508615,0.22036320525602793,-0.10546451351991128,0.0021571145976440865
RAB3GAP1,-0.051965569148290536,0.05908551477120676,0.2179853943015395,-0.10562460891611594,0.001995216401560265
FBXO48,-0.05246875580687969,0.05666742217999028,0.21111392576859125,-0.10612351553041229,0.0014906555196017226
TP53INP2,-0.052760415735028265,0.05530387599411446,0.20848683410479654,-0.10641268226825558,0.0011981864781231402
OAS3,-0.052836189828172876,0.05495412553390302,0.2075801958537092,-0.10648780713820162,0.0011222006643011107
ADCK4,-0.053257356128230314,0.05304354928757604,0.20156548729278898,-0.10690535377301517,0.0006998462251939991
C10orf95,-0.05362810790729182,0.051407841836204955,0.1965289728144656,-0.10727290350857005,0.00032803259760169645
CTC-459F4.3,-0.05367437612733455,0.05120670322901567,0.1961547099498584,-0.10731877109833715,0.0002816308163833586
RP11-277L2.4,-0.05383636417642066,0.05050768046105182,0.1938678643959565,-0.1074793547155659,0.00011917333017853342
VCPKMT,-0.053896464544237875,0.050250369546284306,0.19327065210109348,-0.10753893330301606,5.8898068705737006e-05
NADSYN1,-0.05394822942023084,0.05002962603015458,0.19281194616083916,-0.10759024845702636,6.982241296503766e-06
CDK19,-0.05407086058027532,0.04950992143790213,0.19199572500940046,-0.10771181308367295,-0.00011600768380312068
NAF1,-0.05414370983285334,0.04920333646663251,0.19199572500940046,-0.10778402800078923,-0.0001890708342422725
THAP2,-0.05433696880657724,0.0483977076927807,0.1895992672500687,-0.10797560142782646,-0.0003829000404830642
