,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
LLGL1,-0.01783741616274614,0.597921237485706,0.8654080096732978,-0.08393810985735824,0.04841956992368337
CKB,-0.017878071052256056,0.597086766183968,0.8654080096732978,-0.08397849104822741,0.04837899732931222
BRICD5,-0.018015464882798968,0.594270576893433,0.8654080096732978,-0.084114958303349,0.04824187999838489
RGS3,-0.01813322079078557,0.5918617430203643,0.8654080096732978,-0.08423191809962212,0.048124359082094344
RPA4,-0.018233313007608554,0.5898177643769211,0.8654080096732978,-0.08433133219155746,0.04802446516526368
ZHX1-C8ORF76,-0.018318798489753287,0.5880746432154205,0.8654080096732978,-0.08441623746763091,0.047939147995244714
PARP6,-0.018351800343401472,0.5874023438115609,0.8654080096732978,-0.0844490150746891,0.047906210860187703
AC017002.1,-0.01841531790632717,0.5861093915366629,0.8654080096732978,-0.08451210063510886,0.047842817453419645
RP13-582O9.7,-0.01851543086157192,0.5840741883960683,0.8654080096732978,-0.08461153161555461,0.047742899102748024
NT5E,-0.018530006058698416,0.5837781621486169,0.8654080096732978,-0.0846260074158884,0.04772835212703891
PIWIL4,-0.01856157014734362,0.5831373259609924,0.8654080096732978,-0.08465735615491987,0.047696849058434555
ANKRD28,-0.018569397942469014,0.5829784512529717,0.8654080096732978,-0.08466513052376688,0.04768903637568974
CCDC71L,-0.0186740330889318,0.5808566893574973,0.8654080096732978,-0.08476905074154059,0.047584602459896555
TMEM45A,-0.01870971060468777,0.5801340562441255,0.8654080096732978,-0.0848044841588588,0.04754899322672679
AC016700.5,-0.01888230249049261,0.5766442302296925,0.8654080096732978,-0.08497589284508736,0.04737672928356467
NBPF18P,-0.019387985745858528,0.5664765337455671,0.8571569189133078,-0.08547808687943549,0.046871984187286116
TBC1D2,-0.019497350738916817,0.5642888857816128,0.8551684507433421,-0.08558669283613592,0.04676281764112118
RP3-525N10.2,-0.019842476151332368,0.5574120116776753,0.8513359741535789,-0.08592941264327306,0.0464183080931062
WWP2,-0.019842647160903514,0.5574086143032635,0.8513359741535789,-0.08592958245699059,0.046418137384788546
RP11-661A12.14,-0.019852804134560247,0.5572068480690044,0.8513359741535789,-0.08593966839701277,0.04640799829689553
POLRMT,-0.01989749290483311,0.5563195364391313,0.8513359741535789,-0.08598404447176972,0.04636338805843003
LL22NC03-86G7.1,-0.01995217372771591,0.5552347651864736,0.8513359741535789,-0.08603834232619725,0.04630880296689355
FAM222B,-0.019965843227715906,0.5549637475503286,0.8513359741535789,-0.0860519160276889,0.04629515733666973
CLEC9A,-0.02004676063948767,0.5533607651434396,0.8513359741535789,-0.08613226585208056,0.04621438071698361
HIST2H2AA3,-0.020068908754718246,0.5529224035869195,0.8513359741535789,-0.08615425846163738,0.046192270987268455
RP11-85A1.3,-0.02010727679354331,0.5521634151850724,0.8512881629388753,-0.08619235695952766,0.046153969291513615
RP11-386I14.4,-0.020109436708445578,0.5521207033848763,0.8512881629388753,-0.0861945016949737,0.04615181310557793
CHST7,-0.02012362281404724,0.5518402167726506,0.8512881629388753,-0.08620858808819844,0.04613765147611199
PICK1,-0.020247740309811708,0.5493891576191234,0.8496871805831309,-0.0863318320505969,0.04601374699173895
ECE1,-0.020372720927883132,0.5469264781459546,0.847193282983573,-0.0864559310169861,0.04588897880615315
RP11-1246C19.1,-0.020447115988006626,0.545463154603404,0.8462294823073719,-0.08652980029782804,0.04581470921548419
CTA-445C9.15,-0.020479837527131988,0.5448201482192923,0.845961816188243,-0.08656229035082905,0.04578204263024108
COL6A2,-0.020634749007506992,0.541781112398993,0.844140145778627,-0.08671610401333969,0.04562738939090663
PTBP2,-0.020730590708069537,0.5399051364453571,0.844140145778627,-0.08681126493087755,0.04553170587020303
NDUFA4L2,-0.020759988165406477,0.5393303703947223,0.844140145778627,-0.08684045333045132,0.045502356687601574
NSF,-0.020762942729581513,0.5392726209824905,0.844140145778627,-0.08684338687719567,0.045499406968907946
RP11-804H8.6,-0.02098637683570166,0.5349143905480518,0.8439664598655,-0.08706522825418482,0.04527633594669079
MMP9,-0.02104634195554418,0.5337477549074008,0.842804922668299,-0.08712476480284766,0.04521646714635909
LIF,-0.021100617001482212,0.5326929279147672,0.8424981848603508,-0.08717865153764601,0.04516227886982112
KIAA2013,-0.021203966473074678,0.5306872615164351,0.8406841893601779,-0.0872812605256223,0.04505909354459671
PELI2,-0.021244457765971086,0.5299025053663369,0.8406841893601779,-0.08732146132215088,0.04501866617711406
CTC-250I14.6,-0.02129885707303991,0.5288491269121103,0.8406841893601779,-0.08737547001390096,0.044964352410998
AGAP3,-0.02134409708178665,0.5279739180471426,0.8406841893601779,-0.08742038488000778,0.04491918324217687
LMNA,-0.021386082113140695,0.527162339073961,0.8406841893601779,-0.08746206792208776,0.04487726371148344
EAF1,-0.02140056555121916,0.5268825187525589,0.8406841893601779,-0.08747644713024376,0.04486280281481804
SNAI1,-0.021462989537862326,0.5256773522920954,0.8406841893601779,-0.08753842156818731,0.04480047566446531
CAMTA2,-0.02147860748392725,0.5253760500942402,0.8406841893601779,-0.0875539269610301,0.044784881865332214
FSTL1,-0.02166921595880826,0.5217059383101355,0.8392730530940448,-0.08774315920573983,0.04459456548859983
ITGAX,-0.021915926026954954,0.5169752201120055,0.8351794397519032,-0.08798808089881228,0.04434822634977213
S100A13,-0.02196230569078253,0.5160883621333869,0.8344351883213638,-0.08803412346932342,0.044301915518070625
ATF7IP2,-0.021995683606093677,0.5154506071606779,0.8340928006781879,-0.0880672586149878,0.04426858696274347
RP11-138A9.2,-0.022018596467597688,0.5150130453511294,0.8340740635215147,-0.08809000473832634,0.044245707899893676
CTA-384D8.34,-0.02220513672804167,0.5114579038644118,0.8303769284962839,-0.08827518497100616,0.04405944021760172
RP11-285F7.2,-0.02231094901111617,0.5094469982023657,0.828486065182917,-0.08838022376793961,0.04395378050267867
FAM229A,-0.02241924040929943,0.5073932630649854,0.8272483220522195,-0.0884877220362855,0.04384564371227603
SSC5D,-0.022468447510832143,0.5064614909053318,0.8272483220522195,-0.08853656823481641,0.04379650635070883
RP11-109G23.3,-0.022468447510842322,0.5064614909051393,0.8272483220522195,-0.08853656823482653,0.043796506350698663
POFUT2,-0.022509518299965958,0.5056844735976928,0.8272483220522195,-0.08857733755236773,0.04375549352468071
IGLL1,-0.022669808400483965,0.5026579492655701,0.824291678946387,-0.08873644895893923,0.043595427504328196
MFI2,-0.02268554355719149,0.502361361077942,0.824291678946387,-0.08875206822536597,0.04357971416146183
SIRT7,-0.02275142523915758,0.5011205764763177,0.8238405447024602,-0.08881746433237167,0.04351392345607854
ARHGAP24,-0.022872503334341952,0.49884447965477885,0.822419411055607,-0.08893764854718557,0.043393011059932554
SPOCK1,-0.022928470454896047,0.49779423265230227,0.822419411055607,-0.08899320183048605,0.043337119876024205
HAL,-0.0231781302499127,0.49312359735338074,0.8190518500223941,-0.08924101056178406,0.04308779376932802
GDF15,-0.023217206082598762,0.4923946924559838,0.8190518500223941,-0.08927979593255697,0.04304876941725542
RGS16,-0.0233756801478346,0.48944449958211533,0.818387984783759,-0.08943708996054285,0.042890502061352184
LINC00694,-0.02355222097493867,0.48616918442279344,0.8170501663484502,-0.08961231234069611,0.04271418759307388
SIN3B,-0.0236652995465084,0.4840774973455312,0.8149817195206793,-0.08972454426736792,0.04260125184103634
OTOA,-0.02380542030276484,0.4814923634729297,0.8130928807199511,-0.08986361358034385,0.04246130570949653
RP11-195F19.9,-0.023815418587849788,0.48130818877130654,0.8130928807199511,-0.08987353674146907,0.04245131978532466
SULT1B1,-0.02381825995595324,0.48125585596539955,0.8130928807199511,-0.08987635675803583,0.0424484819275981
LGMN,-0.023902309970225234,0.4797092070563098,0.8130928807199511,-0.08995977469714442,0.04236453526953275
RP11-386G11.5,-0.023907449829340902,0.47961471363460584,0.8130928807199511,-0.08996487587328249,0.0423594017005377
RIN1,-0.02411327470800103,0.47583907749371557,0.8120519384172203,-0.09016914884963828,0.04215382583321684
VENTX,-0.02411916402096464,0.4757312841796474,0.8120519384172203,-0.09017499367588823,0.04214794356269669
FRY,-0.024133751991082177,0.4754643350845823,0.8120519384172203,-0.09018947143174948,0.042133373017098
DAB2,-0.024208096720210456,0.47410515576237244,0.8120519384172203,-0.09026325404184261,0.04205911665074249
AC009005.2,-0.024225597006169622,0.47378552345148717,0.8120519384172203,-0.09028062190305346,0.04204163705838127
VPS9D1,-0.024443715769411876,0.4698116477510601,0.8108454403246159,-0.09049708678955819,0.041823772810779515
NPPA-AS1,-0.024530918718642204,0.46822806658757454,0.8091708335202745,-0.09058362677957175,0.041736669852440525
LRRC8B,-0.02457860679126067,0.4673633134489612,0.8083899008242633,-0.09063095188235791,0.04168903603510001
TOB1,-0.02480383034721167,0.4632911765526694,0.8027647112302007,-0.090854457155221,0.041464064647521254
MNT,-0.024900683704892995,0.4615461116668046,0.8004493238650162,-0.09095056955010083,0.0413673176641875
TRIQK,-0.024993199450492463,0.45988262631095067,0.798979753608555,-0.09104237636815966,0.04127490236848062
FAM13A-AS1,-0.025110722064946127,0.45777433971946746,0.7979786184443082,-0.0911589968141293,0.0411575057203397
AC006129.4,-0.02547543706076021,0.4512661460029229,0.7945855340591035,-0.09152090052189768,0.04079316999301421
KLK1,-0.02551787093145569,0.4505123376847928,0.7945855340591035,-0.09156300617177406,0.040750779104987984
METTL22,-0.025769366141855408,0.4460593324869292,0.7911088523635936,-0.09181255124988177,0.04049953374539072
CLMN,-0.025894699544419378,0.4438495347152015,0.7900521717930586,-0.09193690970107819,0.04037432172791132
GNG11,-0.026252034228836492,0.437583596751255,0.7817414985756911,-0.09229145341866292,0.040017321694686414
DNASE1L3,-0.02629056033606559,0.43691107975755217,0.7817414985756911,-0.09232967761728439,0.039978830657514765
SBNO2,-0.02639251529656386,0.4351342082215106,0.7794993409860181,-0.09243083267190244,0.039876967556976714
TNFSF14,-0.02647503349747199,0.43369913237787283,0.7776400194101419,-0.09251270246344047,0.039794522695207286
ARC,-0.026662087702686528,0.43045619614097963,0.7746628970992998,-0.09269828353295555,0.039607631395850496
KREMEN1,-0.026818059926487205,0.4277628923097603,0.7719444637258163,-0.09285302389785018,0.03945179146348094
ACKR3,-0.026943201448024454,0.4256090639249964,0.7694760361635669,-0.09297717475311049,0.03932675375257945
RP11-345P4.9,-0.02697992129632854,0.42497827402823285,0.7690457121509057,-0.09301360352395047,0.039290063971237625
HRH1,-0.027001130835258142,0.42461417552505765,0.7690457121509057,-0.09303464485476368,0.03926887171769627
SPHK1,-0.02717084235153851,0.42170734043693037,0.7670705233185382,-0.09320300830276979,0.03909929636612608
CETP,-0.027262659430152044,0.4201395544452067,0.7666665867695384,-0.0932940944772648,0.039007551363908065
ZSWIM4,-0.027528041753136008,0.41562737632008384,0.7612707229510983,-0.0935573580267522,0.038742371084121846
GPD2,-0.027567331001293983,0.4149617938067728,0.7607632886457502,-0.09359633281064828,0.038703110954721766
STARD10,-0.027696442816733852,0.41277899634995285,0.7596064613282028,-0.09372440981250714,0.03857409338803573
