,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
MPZL3,0.06325413891247515,3.052844680988913e-10,3.206294545906345e-09,0.0435937478878646,0.0828655564288774
C1orf115,0.06303752872737534,3.5086534866984013e-10,3.6656195637349088e-09,0.043376681776184964,0.08264956853735951
LINC00877,0.06251978538463367,4.884092177908621e-10,5.0758759021720485e-09,0.04285785619492711,0.08213330514061343
SULF2,0.06229090169358944,5.648347349914645e-10,5.839567442489881e-09,0.042628497448739935,0.08190507234795934
PKIB,0.061905624361220005,7.206028758218257e-10,7.22422580053699e-09,0.042242425141758425,0.08152088601948501
RP6-91H8.3,0.06188218799094392,7.313240294898026e-10,7.2948653192827044e-09,0.04221894060274336,0.08149751582675589
SLC2A3,0.06130094803164007,1.0530039267002774e-09,1.0399068629353485e-08,0.041636512973396086,0.08091791022029504
IL1R2,0.06115754215264868,1.151516554417968e-09,1.131564534910726e-08,0.04149281612302859,0.08077490553495618
CD3D,0.06084785416084046,1.3958792428931387e-09,1.3649361069669361e-08,0.04118250254772621,0.08046608117393743
HLA-DRB1,0.059055295451112384,4.1745283521777535e-09,3.927222170176702e-08,0.0393863973197514,0.07867844739542545
SDPR,0.05900195923651687,4.310763215469962e-09,4.0362570673150355e-08,0.03933295752829824,0.07862525578499882
CENPF,0.05864651782341835,5.3356744869952544e-09,4.9724478200401784e-08,0.03897682873514729,0.07827077518473494
APOBR,0.05862428511340491,5.407117430263537e-09,5.015480420127626e-08,0.038954553195853676,0.07824860240825662
ASPM,0.05798976301921036,7.887561259400118e-09,7.24852273143946e-08,0.03831881699383043,0.07761578263450261
HIST1H1E,0.05633255269361482,2.075687847940972e-08,1.8150838670320835e-07,0.03665851082837701,0.07596294374632168
CCL5,0.05619860830330024,2.241911993014932e-08,1.943316727569712e-07,0.03652432096008232,0.07582934796623057
RP11-138A9.2,0.05610894979715453,2.3603205514807477e-08,2.037059258560558e-07,0.03643449853446917,0.07573992241592431
TSHZ2,0.0557172344890386,2.9527684496898243e-08,2.526398867514785e-07,0.036042070795481246,0.0753492211811258
HIST1H1C,0.05496211538689209,4.527795246746316e-08,3.8408861387997596e-07,0.03528559544557393,0.07459603992243447
SPIDR,0.054873523520290096,4.7589435924400096e-08,4.0197885238269867e-07,0.03519684593950442,0.0745076739387186
PTTG1,0.054153704465955396,7.111776183321119e-08,5.956487647211992e-07,0.03447575755135723,0.0737896787779331
FSTL1,0.05406179387607859,7.483378107626475e-08,6.215274286041236e-07,0.0343836863607372,0.07369799960759472
NCR3,0.05387568117547065,8.294291230901549e-08,6.831605017983226e-07,0.03419724947751722,0.07351235449936527
BASP1,0.053684187467172545,9.217227046946281e-08,7.529298637114555e-07,0.034005423643190355,0.07332134048229705
PPM1M,0.05281310756032696,1.4828041318412148e-07,1.1916462355080208e-06,0.033132851236763454,0.07245242444523273
SULT1A1,0.052688183472463436,1.5864783738567006e-07,1.269822408107077e-06,0.03300771556498406,0.0723278082398171
SYTL1,0.05195005813952131,2.3578329456834349e-07,1.8646607160086128e-06,0.03226835266246416,0.07159148954302552
SYTL4,0.051520338106825686,2.962362297966343e-07,2.3150744730170043e-06,0.03183792206493144,0.07116281143387199
MIB2,0.05131369805661412,3.303910473001633e-07,2.5618212066047818e-06,0.03163094292380758,0.07095666983129469
PRSS57,0.05124204084703406,3.430994235226206e-07,2.6500091661182954e-06,0.031559168520817776,0.07088518507813543
AREG,0.05121227739470309,3.4851549535480036e-07,2.6814079778266617e-06,0.031529356450842295,0.07085549319778744
DGAT2,0.050893325547098994,4.1198499068222597e-07,3.1453469480931485e-06,0.03120988580415708,0.07053730614636984
FOS,0.05007527303748796,6.299222072108842e-07,4.7543558224851904e-06,0.03039052105608465,0.06972119692229531
TYMP,0.04951732921830606,8.383951810356682e-07,6.2330128627558115e-06,0.029831697413603017,0.06916456341498281
RP11-395P17.3,0.04943730863011004,8.732712390684091e-07,6.444027544798482e-06,0.029751551649713256,0.06908472974928333
CNFN,0.049388213037248094,8.953559400653584e-07,6.558234468744414e-06,0.029702379382219774,0.06903574871573274
FAM65B,0.049237654446562674,9.664853643525695e-07,7.053211206764155e-06,0.029551586252035453,0.06888554084674224
ADAM15,0.04897199762641304,1.1054613091719737e-06,8.008542696008641e-06,0.029285517778255256,0.06862050069344687
HERPUD1,0.04879769096283129,1.206889036379292e-06,8.711544498955979e-06,0.029110942530130638,0.06844659713946256
TRMT6,0.04874217014748727,1.2410348399772921e-06,8.925558541141032e-06,0.029055336416420236,0.06839120447336494
PPAP2B,0.04790935810887371,1.8792565748200774e-06,1.3275175448462112e-05,0.028221259524080337,0.06756030013514434
ZAP70,0.04780892197533752,1.9747962748853146e-06,1.3900604984565068e-05,0.028120672703153677,0.06746009222605762
NR4A1,0.04746864554348772,2.334390426283008e-06,1.6373727901667036e-05,0.027779888707922824,0.06712058606891248
SNX29P2,0.04745823704493963,2.3463249104063846e-06,1.6399489250551666e-05,0.027769464755978215,0.06711020106007472
ATP2A3,0.04689950561172178,3.08040557397128e-06,2.1454754611694703e-05,0.02720991006397664,0.06655272431250542
RAB11FIP4,0.046759943727484286,3.2955954603715937e-06,2.28732761847469e-05,0.02707014446920189,0.06641347391279716
MPO,0.04660164566759895,3.557120436307809e-06,2.4516958562746533e-05,0.026911616282426727,0.0662555282275853
LCK,0.046578269992898144,3.5973864957475035e-06,2.470869271300621e-05,0.026888206709100897,0.06623220450414721
PCOLCE,0.04645516154188121,3.8167616952124936e-06,2.6125075741368277e-05,0.026764920086674568,0.06610936930106819
RP13-516M14.4,0.046219331002582416,4.273321619788588e-06,2.9049806216713516e-05,0.02652874990921784,0.0658740605407667
CRIP1,0.04620810594029712,4.296308515806815e-06,2.910639045691648e-05,0.026517508735637012,0.0658628602596161
NR4A3,0.04569157182069576,5.492116479611551e-06,3.6830578419016654e-05,0.02600023862320634,0.06534746111469736
CDKN2D,0.04492272346232681,7.878075782403981e-06,5.230093788652811e-05,0.02523031428601871,0.06458028271491166
FCER1A,0.044813545856848575,8.288379832189745e-06,5.465924905945728e-05,0.02512098578414466,0.06447134036192315
CD247,0.044538533253193784,9.414376549770048e-06,6.167504109337803e-05,0.024845595168180613,0.0641969182701328
TOB1,0.0444567995426422,9.77625794841853e-06,6.383510535398282e-05,0.024763749688561022,0.06411535948652151
ACSS2,0.044291125842619,1.0550957555033214e-05,6.86677073663637e-05,0.024597850243261814,0.06395003955661611
ARID3B,0.04360017004353546,1.4460712483892914e-05,9.289486822177163e-05,0.023905964649908372,0.0632605475508106
RGL4,0.043381926442096944,1.5959463512346032e-05,0.00010219204861937701,0.023687431286491537,0.06304276239920592
CCDC88B,0.042962033801692355,1.9269195119517445e-05,0.00012142651527695913,0.0232669864487676,0.0626237465323889
