,Osteoclasts_corr,Osteoclasts_pval,Osteoclasts_qval,Osteoclasts_ci_low,Osteoclasts_ci_high
OGFOD2,0.005613126633669487,0.7120161853186124,0.8194809368730979,-0.02418475798933975,0.03540104632952995
RP11-802O23.3,0.005611635443542604,0.712089281839325,0.8194809368730979,-0.024186248354156756,0.03539955696122138
IQSEC1,0.005576603263686124,0.713807280746854,0.820981823189425,-0.024221261107095653,0.03536456754284724
ARHGAP27,0.005541515359716226,0.7155294674567844,0.8218840845060786,-0.02425632947997122,0.03532952239517623
MANEA-AS1,0.005532016200099751,0.7159959552547963,0.8218840845060786,-0.0242658233394256,0.03532003479814128
FAM222B,0.005526868767892901,0.7162487813059526,0.8218840845060786,-0.02427096789731987,0.03531489362925658
DYNLL2,0.005504504086378678,0.7173476264806141,0.8221939289067236,-0.024293320072129965,0.03529255614246123
MAK,0.005484597339065763,0.7183261979680984,0.8228401713445193,-0.0243132156621955,0.03527267357606331
ENGASE,0.005445537889739263,0.7202476149736421,0.8236830197818994,-0.02435225315105781,0.0352336615040945
C17orf103,0.005395680193405447,0.7227027873116012,0.8245211788534887,-0.02440208268378053,0.03518386415100624
NRBP2,0.005370638117469015,0.723937028550252,0.8254546348527011,-0.024427110558091263,0.03515885232792711
RP11-274B18.2,0.005310303444229795,0.7269136679435297,0.827422098221436,-0.024487410861489554,0.035098590390599343
KDM6A,0.0051967279998355225,0.7325281261646004,0.8319037219865869,-0.02460092101902478,0.034985151278354366
RAE1,0.005167151726798655,0.7339925570201968,0.8326136267170214,-0.024630480164567183,0.034955610381709246
WDR6,0.005130731054597197,0.7357972086435511,0.8341161587641781,-0.02466687967412808,0.03491923320101687
PHF21A,0.005086322591254832,0.7379996293638363,0.835725607681422,-0.02471126222653516,0.034874877660951466
LPL,0.005057626918134151,0.7394239257245911,0.8360618465848939,-0.024739941094163567,0.03484621612315336
CETP,0.005051996355193001,0.7397035011432527,0.8360618465848939,-0.024745568353834853,0.03484059225237311
ING5,0.005034711807853664,0.7405619487078412,0.8360618465848939,-0.024762842749091653,0.034823328236660456
PRKCZ,0.0050314602737898135,0.740723474254565,0.8360618465848939,-0.024766092371377706,0.034820080562977876
CDC34,0.00500599488243267,0.7419889059606624,0.8360618465848939,-0.024791542768279388,0.03479464538362794
RAB37,0.005000578453070769,0.7422581504081214,0.8360618465848939,-0.024796956003374178,0.03478923537531259
XAB2,0.0049897334795668035,0.7427973362464704,0.8360618465848939,-0.02480779457594743,0.03477840325301623
GS1-124K5.3,0.004983369618763264,0.7431137907537954,0.8360618465848939,-0.02481415467740549,0.034772046930078765
BCL2L15,0.004978552175735837,0.7433533756934239,0.8360618465848939,-0.02481896927300401,0.03476723519161372
SPAG5,0.004922488997160599,0.7461433758601349,0.8379347103515014,-0.02487499921286983,0.034711238298546776
RP11-443B7.3,0.004913604116396245,0.7465858411184403,0.8379347103515014,-0.02488387880878547,0.03470236390552598
UAP1L1,0.004906311521683926,0.7469490732672839,0.8379347103515014,-0.02489116706224924,0.034695079915507056
CCDC71L,0.004886172266228869,0.7479524680803886,0.8383828794754187,-0.024911294312444477,0.03467496440636581
C2orf68,0.004871862927251726,0.7486656594635859,0.8387084519343615,-0.024925595106767427,0.03466067192494686
AKR1C1,0.0048571118559092115,0.7494010922421918,0.8390585592598806,-0.024940337356914432,0.03464593821880407
PPBP,0.004830691179415015,0.750718896586048,0.8395383112264365,-0.02496674220135126,0.034619548612791026
MPND,0.004741486801966505,0.7551735640908073,0.8426683639798435,-0.025055892817715534,0.03453044883200222
SH3D19,0.0047233701562582895,0.7560792694618963,0.8430549435475094,-0.025073998487106283,0.03451235337112852
PRPF3,0.00471755897962584,0.7563698586262938,0.8430549435475094,-0.02507980613878498,0.03450654898570135
OTUD1,0.004708487912052245,0.756823528181148,0.8430869623309363,-0.025088871699994214,0.034497488514973
NRIP3,0.004665023008851976,0.7589984898782481,0.8446006037220641,-0.025132310150912156,0.034454074319643674
GMEB2,0.004624764317933316,0.7610147161939622,0.8463302673367831,-0.025172544240439618,0.03441386249581001
TMEM107,0.004605867726678793,0.7619616514990455,0.846908636736194,-0.0251914292510246,0.0343949878697281
AL592284.1,0.004499575160480637,0.7672947262970922,0.851495546185535,-0.025297656280154956,0.03428881846079992
BMP8B,0.004417052767191621,0.7714427909877358,0.854574258693282,-0.02538012732840346,0.034206391219526906
PRR7,0.004214895117813569,0.7816318451209382,0.8639317998439785,-0.025582157482462547,0.034004464954523334
LRP3,0.00414315134977436,0.7852569667159943,0.8674553574412766,-0.02565385541848948,0.033932802717802295
HAS1,0.004081963954206583,0.7883523740963051,0.8701662456780228,-0.02571500348355456,0.033871684615011166
MIR22HG,0.004077305854280958,0.7885881601457082,0.8701662456780228,-0.025719658580177593,0.033867031781108586
PVRL1,0.0038797421936706392,0.7986060992609146,0.8778030476086729,-0.025917093672245074,0.03366969027912835
LINC01023,0.003821071127250767,0.8015876313072481,0.8805923923109525,-0.025975726109616244,0.03361108474046292
ENTPD1,0.003731765697307992,0.8061314684953657,0.884604443304649,-0.02606497234732244,0.03352187865952676
