,TAM_corr,TAM_pval,TAM_qval,TAM_ci_low,TAM_ci_high
DNAJB1,0.1326867676711592,5.268245908975313e-12,1.2768911021878913e-10,0.09526031734129585,0.16973862433891684
HSPA1B,0.13225129476799807,6.188277891990775e-12,1.4813667694531003e-10,0.09482107001714221,0.16930811147247354
NR4A3,0.13143877335743293,8.34409616604341e-12,1.9730734714583136e-10,0.09400154511698741,0.16850480687052735
NUCB2,0.13042914115309498,1.2065812690347742e-11,2.818748289949912e-10,0.09298328112157313,0.1675065587894607
APOC1,0.1291722858026592,1.9020381450234533e-11,4.3905380514291385e-10,0.09171578979893084,0.16626376888877725
HNRNPH1,0.12908006134858574,1.9662891480562314e-11,4.485452538918862e-10,0.09162278968704526,0.1661725718765574
JUNB,0.12835422312520484,2.5517653606532655e-11,5.753340737565909e-10,0.0908908695773633,0.16545479782540157
RP5-940J5.9,0.128165219770341,2.730300043430115e-11,6.085116993345969e-10,0.09070028918188347,0.16526788787631225
TRMT6,0.1276842793827326,3.241521659664442e-11,7.062146627066689e-10,0.0902153482113642,0.16479226237634503
CDKN1A,0.1268361080661634,4.3804439465820116e-11,9.437423124913911e-10,0.08936016488790276,0.1639534221711202
PKIB,0.12638761652998734,5.132307419922187e-11,1.0935762733218814e-09,0.08890798791278771,0.16350984299334315
CYP46A1,0.1256553722537656,6.639082755863918e-11,1.3842130606043157e-09,0.08816975968506026,0.16278558677859806
SELK,0.12511070350538592,8.032375988340982e-11,1.656891174616294e-09,0.08762066657073139,0.16224683387559485
ATP1B3,0.12416333488473237,1.1165934862717049e-10,2.279026073558775e-09,0.08666565670754933,0.16130970222043467
RP11-620J15.3,0.12310085281343107,1.6107828526645068e-10,3.219905104449978e-09,0.08559468689702653,0.16025862129599402
PNP,0.12286576216709254,1.7460849188186296e-10,3.454753732234003e-09,0.08535772991656514,0.16002604194444459
MYLPF,0.12260358298277856,1.9100784554664475e-10,3.741052651666103e-09,0.08509347435242909,0.15976665855470704
IL8,0.12190235613590021,2.426138215482301e-10,4.704281999820182e-09,0.08438671993141093,0.15907288414748105
NFKBIA,0.12092858785722084,3.374154682064183e-10,6.414201890708285e-09,0.08340533831154592,0.15810940391137454
PLAUR,0.12047843032789327,3.926457453337868e-10,7.3916514582739095e-09,0.08295168585556444,0.15766397844875008
JUN,0.1187352938898337,7.02484455001023e-10,1.3097282290836381e-08,0.08119516278589593,0.15593902314751495
CTB-31O20.2,0.11849170450554253,7.614647666470167e-10,1.4061716024081574e-08,0.08094972129533658,0.155697956360052
HSPA1A,0.11842171030055372,7.792870836429353e-10,1.4255072218713695e-08,0.08087919573886716,0.15562868619109202
SYTL4,0.11777884138805014,9.631774761182012e-10,1.7454216132646655e-08,0.08023146415614703,0.15499245014615198
MKI67,0.11743125041671527,1.0795626469373577e-09,1.9382147892699413e-08,0.07988125720886304,0.15464843262313485
RP11-138A9.2,0.11671316511184467,1.3650127107296284e-09,2.4282198588116967e-08,0.07915779693625596,0.153937701093066
UBE2C,0.11606890197114421,1.6827722506581186e-09,2.96626854002372e-08,0.07850874506420531,0.15330000294327456
TNFAIP3,0.11558137566452248,1.9700278709098853e-09,3.44133697449934e-08,0.07801761619610112,0.15281742387951255
ATF7IP2,0.11495224604754795,2.4120148874604607e-09,4.138846784766224e-08,0.07738386458774504,0.15219465220033768
EMP1,0.11436978964808149,2.9063263141308276e-09,4.94330414306989e-08,0.07679715615207285,0.1516180556973776
VSIG4,0.1140960967775793,3.171386415624304e-09,5.347233269474369e-08,0.07652147426032717,0.15134710760323883
YRDC,0.11256878072830093,5.142003854368938e-09,8.521662797966983e-08,0.07498316414935001,0.14983500572455166
ATP1B1,0.11149817460702233,7.187830220025706e-09,1.1711935123218357e-07,0.07390495813454646,0.14877496037500224
RGCC,0.10938339944004274,1.3801674334193336e-08,2.2301205445000732e-07,0.07177542907798981,0.14668079418544322
MMP7,0.10911820043452479,1.4965389169516314e-08,2.398172694189432e-07,0.07150840408317698,0.14641815601211566
OLR1,0.1085889658286788,1.7579114746569785e-08,2.793926515868755e-07,0.07097554162233913,0.14589401611800848
C12orf57,0.1079927700392248,2.1054921809655918e-08,3.3191458039774656e-07,0.07037528467844598,0.1453035345603025
TWISTNB,0.10795418197201105,2.1301523573326385e-08,3.3309398555386984e-07,0.07033643469648104,0.145265315424126
SLC7A5,0.10771083823299545,2.292243125091606e-08,3.5557275356420995e-07,0.07009144190185156,0.14502429566963265
MPO,0.1074749203554297,2.4607746246654535e-08,3.7868587279573925e-07,0.06985392962368356,0.14479062663033954
HERPUD1,0.10668143955468617,3.1204572466339716e-08,4.72700515720568e-07,0.06905511754975566,0.1440046789779459
KIF11,0.10629667625083603,3.499181807839586e-08,5.259622887907719e-07,0.06866778645129738,0.14362355158725468
HIST1H1C,0.10620024712131027,3.6008661011836236e-08,5.370830284765421e-07,0.06857071556050284,0.14352803195267644
HSPH1,0.1060872310032024,3.72368870297499e-08,5.511627782495042e-07,0.0684569481972152,0.14341608088853197
DUSP4,0.1057976806900956,4.057177647910293e-08,5.870796611416461e-07,0.0681654776395677,0.14312925491285058
PHLDA2,0.10501178657967951,5.1148213233708296e-08,7.346398922974843e-07,0.06737440400221555,0.14235072355758402
MAFF,0.10487459196206196,5.3249895869643354e-08,7.592025594944005e-07,0.06723631003883616,0.14221480952961305
RP11-544A12.8,0.10297477556981119,9.25144488704787e-08,1.3081459796503928e-06,0.0653241880976118,0.14033258147421274
HBB,0.10195684933460564,1.2387853395634212e-07,1.7157176952953384e-06,0.0642997822695319,0.13932396800295718
CXCL2,0.1012875978179346,1.4986163793762254e-07,2.032039971755595e-06,0.0636263138826212,0.1386607970613788
RP11-347P5.1,0.0999844947156282,2.1637012251073608e-07,2.89339081067805e-06,0.06231509850140109,0.13736943730387174
FCGR2B,0.09936748152589071,2.5705658679106e-07,3.36778866072882e-06,0.06169428954430259,0.1367579401962301
WBP5,0.0984850387794952,3.2830467662870323e-07,4.272367570356077e-06,0.06080646880366915,0.13588333694258778
KB-1208A12.3,0.09831576099827996,3.4399681201580197e-07,4.446732123324267e-06,0.06063616618416289,0.1357155563368573
MATK,0.09777376350168937,3.992579691017828e-07,5.1268953780685884e-06,0.06009090209285265,0.1351783381009694
SSC5D,0.09577831780210795,6.862743839507502e-07,8.754513358424373e-06,0.05808362371981397,0.13320029842413988
KIAA1467,0.0957461752210908,6.922278957830168e-07,8.772744378583463e-06,0.058051293032518,0.13316843377885412
FAM184B,0.09507959290631623,8.275106681940532e-07,1.0351891520182381e-05,0.05738082753667623,0.13250759793786415
S100B,0.09443021565471085,9.835575956441288e-07,1.2147249541108062e-05,0.05672770003035426,0.1318637868400317
ID3,0.09302020264446118,1.4256688724927914e-06,1.7496024960528625e-05,0.05530965507180412,0.1304657510504156
C15orf48,0.09275774770914016,1.5267661370768073e-06,1.8502497123699556e-05,0.05504572188983632,0.13020550907401915
KCNN1,0.09256654105212894,1.6047183179860953e-06,1.9326390177484713e-05,0.054853441601960644,0.13001591137811044
AP000350.4,0.09248904258383082,1.6373900256985723e-06,1.959814357919464e-05,0.05477550877411919,0.12993906426205082
