,Osteoclasts_corr,Osteoclasts_pval,Osteoclasts_qval,Osteoclasts_ci_low,Osteoclasts_ci_high
ZNF432,-0.008790093213363546,0.3822347689571891,0.631908949375694,-0.028499908498398143,0.010926554461912092
RP11-196G18.24,-0.008790425060781891,0.38221680037209127,0.631908949375694,-0.028500240101894576,0.010926222628471347
IL2RA,-0.008791201390006026,0.38217476639599435,0.631908949375694,-0.028501015860466886,0.010925446331929677
ARAP1,-0.008809868754288823,0.3811648844332466,0.631908949375694,-0.028519669495889226,0.010906779746362272
NFYC-AS1,-0.008834096807354617,0.37985662091497807,0.6315036788243145,-0.0285438797100313,0.010882552683486169
SPEG,-0.008834574933159815,0.37983083093618164,0.6315036788243145,-0.028544357483563577,0.010882074576988842
HERC5,-0.008836090095630843,0.37974911058501115,0.6315036788243145,-0.028545871529635655,0.010880559475644178
DEPDC5,-0.008852591545543735,0.37885980416852616,0.6314330069475437,-0.028562360815127696,0.010864058685589092
PPM1M,-0.008885135369328976,0.3771096917267549,0.629573370965188,-0.02859488061705121,0.0108315161316906
RP11-805I24.1,-0.008887432880132799,0.3769863268913656,0.629573370965188,-0.028597176430396276,0.01082921870895919
ARHGEF19,-0.008891538083098326,0.37676595998944573,0.629573370965188,-0.028601278599816916,0.010825113662843593
TMPRSS2,-0.00889254103285163,0.3767121338201027,0.629573370965188,-0.02860228080833833,0.010824110751309571
PPP1R3D,-0.0089010737055437,0.37625439534370175,0.629573370965188,-0.02861080717334008,0.010815578402166693
LINC01003,-0.00890742132953449,0.3759140973553,0.629573370965188,-0.028617150103054826,0.010809231017008142
FBXL6,-0.008935317341345813,0.3744208371880524,0.628254743717907,-0.028645025466035378,0.010781336035961615
LENG8,-0.008936033726182707,0.37438253781254327,0.628254743717907,-0.02864574132019528,0.010780619677191162
AKAP12,-0.008938312020844216,0.3742607516952653,0.628254743717907,-0.028648017927028147,0.010778341465293365
IQSEC1,-0.008951322895037072,0.37356572564449786,0.628254743717907,-0.02866101915845918,0.01076533105982479
MCTP2,-0.008957373606529992,0.3732427758141277,0.628254743717907,-0.028667065383310673,0.010759280564038116
RP11-497H16.9,-0.008960075904629917,0.37309859957992575,0.628254743717907,-0.028669765677173317,0.010756578361808012
CST6,-0.008963612815212747,0.37290994621237894,0.628254743717907,-0.0286732999640698,0.01075304157626955
YPEL3,-0.008973940409349429,0.3723594263856177,0.628254743717907,-0.028683619894359115,0.010742714344432601
CENPF,-0.008994222096392801,0.3712797629686222,0.6272258123342256,-0.028703886518645767,0.01072243335664518
ANKRD13A,-0.008996785661695032,0.3711434340175982,0.6272258123342256,-0.028706448178891678,0.010719869878572756
G6PD,-0.009001483423360941,0.37089369032930564,0.6272258123342256,-0.028711142448848988,0.01071517227608383
KLHL2,-0.009023419311006009,0.369728909694222,0.626204680668115,-0.02873306202068411,0.010693237120185493
HBB,-0.009038480178242665,0.368930505462974,0.6253860404304042,-0.028748111674743632,0.010678176744368977
GCN1L1,-0.00903982374470257,0.3688593326671037,0.6253860404304042,-0.02874945424045194,0.010676833221313638
CPNE2,-0.009054731345747668,0.36807020489450293,0.6249951725539677,-0.02876435073284165,0.010661926097088895
CYP46A1,-0.009060226890869182,0.36777956575685444,0.6249951725539677,-0.028769842180654665,0.010656430725531796
HSF4,-0.009065838283147705,0.3674829473828103,0.6249951725539677,-0.028775449388025044,0.010650819509247548
KDM3B,-0.009082067369159863,0.3666259163476697,0.6241444630790088,-0.028791666363600685,0.010634590925251352
TMEM102,-0.00913328816980004,0.36392921253915544,0.6206181158850718,-0.02884284887430797,0.010583371640907968
BRD9,-0.009147073176974097,0.36320557433842926,0.6199166509559605,-0.02885662355889734,0.010569587024144315
CAHM,-0.009148985251978587,0.36310527190447484,0.6199166509559605,-0.028858534201497397,0.010567675002700616
SNORD3A,-0.009150093002813324,0.36304717013485,0.6199166509559605,-0.028859641122410087,0.01056656728283009
BRSK1,-0.00915033613295538,0.36303441868522623,0.6199166509559605,-0.02885988407039364,0.010566324159477608
ADAM19,-0.009199584529129733,0.36045726758791863,0.6184163147467748,-0.028909095520568653,0.010517077090538847
PRKD2,-0.009206038276594445,0.3601203980767438,0.6184163147467748,-0.028915544419370737,0.010510623509913187
RRP12,-0.009221976973404501,0.3592892849244017,0.6180149311741224,-0.028931471134501573,0.01049468521810493
ERMN,-0.009230711584869615,0.35883433576073354,0.6180149311741224,-0.028940199175607115,0.010485950824336598
TP53INP1,-0.009237970279825343,0.3584565364962822,0.6180149311741224,-0.028947452408132342,0.010478692308003645
POU6F1,-0.009260622643994174,0.35727913925347676,0.6166948621027403,-0.02897008771223243,0.01045604048790675
C19orf68,-0.009265836061078118,0.3570085076047579,0.6166948621027403,-0.02897529720009863,0.010450827193175841
RASGRP4,-0.009270811802210685,0.35675033429758873,0.6166948621027403,-0.0289802691901451,0.010445851567818647
RAB27A,-0.009302022074387677,0.3551336290719852,0.6151311114379499,-0.02901145591143835,0.010414641999572287
GPR42,-0.009305836907061401,0.35493633668618174,0.6151311114379499,-0.029015267862855007,0.01041082725030542
MT1M,-0.009311843708936427,0.3546258220783043,0.6151311114379499,-0.029021270126766058,0.010404820578598805
LINC00309,-0.009326949587857049,0.3538456995323134,0.614508935758217,-0.029036364587353217,0.010389715020736564
RP11-140K17.3,-0.0093345445851906,0.35345387619763746,0.6143659757025485,-0.02904395384033316,0.01038212018142646
GLTSCR1L,-0.009362267898529635,0.3520259686346865,0.6124202872391348,-0.029071656166306404,0.010354397425599064
TNIK,-0.009382131800668384,0.35100511403932066,0.6111799573403961,-0.029091505012267246,0.01033453390428159
RP11-156E8.1,-0.009388248188211181,0.3506911560334539,0.6111693983550536,-0.029097616760661655,0.010328417630865961
AP003419.16,-0.009391299373175675,0.35053460336853204,0.6111693983550536,-0.029100665630817042,0.01032536650228272
PSD4,-0.009399440409539305,0.3501171133614709,0.6111693983550536,-0.029108800489115072,0.010317225614556409
FAM134C,-0.00940532486048627,0.34981554240296797,0.6111693983550536,-0.02911468047284728,0.010311341269419131
AZU1,-0.009422079298810277,0.34895780078523453,0.6102918366155864,-0.029131422184472355,0.010294587124881488
SH3GLB2,-0.009463267759258277,0.3468548452710284,0.607148913459428,-0.029172579311091695,0.010253399339607715
PGAP1,-0.009467186346282222,0.34665519534579325,0.607148913459428,-0.029176494913597,0.010249480813333193
GCHFR,-0.009470104327813488,0.3465065732647481,0.607148913459428,-0.0291794106723092,0.010246562876645715
NEXN,-0.009474868908258665,0.3462639852370383,0.607148913459428,-0.029184171622538127,0.010241798368701246
CLU,-0.009490360714910955,0.34547596952475546,0.6068759287669377,-0.029199651619534184,0.01022630679159386
SNORA76,-0.009510976273356057,0.3444290998425017,0.6055728637620601,-0.02922025144774251,0.010205691523935542
MARC1,-0.009518442870646735,0.3440504415907587,0.6054433746078511,-0.029227712343684743,0.010198225027828318
APOBEC3D,-0.00952293150711517,0.3438229344629118,0.6054433746078511,-0.029232197551660753,0.010193736451129424
RP11-563N4.1,-0.009540690266852022,0.3429237713038419,0.6050699431450011,-0.029249942739190873,0.01017597792007331
GS1-124K5.3,-0.009543022675983844,0.3428057882783472,0.6050699431450011,-0.02925227336484624,0.010173645540052068
ZSCAN25,-0.009556718956033036,0.34211349654081036,0.6047153077769444,-0.02926595916771212,0.010159949426616037
ZNF816,-0.009557952072629796,0.34205121136976147,0.6047153077769444,-0.029267191340654482,0.010158716324656947
RNF187,-0.009572911721639413,0.34129617173941806,0.6043469231960258,-0.02928213953687699,0.010143756848448836
AC091729.9,-0.009602071125044461,0.3398275143285797,0.602283585662706,-0.029311276591128338,0.010114597756501873
MANEA-AS1,-0.009608600100853478,0.3394992284805668,0.6022394714333557,-0.02931780055823044,0.010108068845835776
AP4B1-AS1,-0.009614892541132302,0.3391830284600055,0.6022167365770222,-0.029324088169671667,0.010101776466749
APOL2,-0.009624990366675454,0.3386759997919918,0.6018548429607017,-0.02933417824285333,0.010091678736140601
ABHD5,-0.009641600583691573,0.3378430317479211,0.6009125609494833,-0.02935077569903921,0.010075068666537953
BRICD5,-0.009665355791922004,0.3366540457787558,0.5998171768172326,-0.029374512638400425,0.010051313650224138
SAA1,-0.00969479575691472,0.3351842671773182,0.5983280308875689,-0.029403929931834438,0.010021873892194562
PPP6R2,-0.009708391844066527,0.3345068849434937,0.5976563155831097,-0.029417515537188205,0.01000827788908567
S100P,-0.009737556384817703,0.333056831608069,0.5956016312991144,-0.02944665756920019,0.0099791135040216
ARHGAP29,-0.009750370992767451,0.3324209774401534,0.5950005772936922,-0.02945946227643947,0.009966298953871747
EFEMP2,-0.009757330001700334,0.33207600372238266,0.594919555405171,-0.029466415906053423,0.009959339973613908
LPAR2,-0.009772554919478576,0.33132207711401884,0.5941050795585613,-0.02948162904830703,0.009944115111911032
RP11-206L10.3,-0.009782447250237471,0.33083280981393726,0.593764129729354,-0.029491513723071114,0.009934222812687474
RP11-395P17.3,-0.009801761512354743,0.3298788885145483,0.5931246319758862,-0.02951081302614566,0.009914908601018027
UBOX5,-0.009825203656034367,0.3287234881227168,0.5915830679271014,-0.02953423699396593,0.009891466498804123
MTMR3,-0.009842108484529514,0.32789192428021674,0.5911584647558857,-0.029551128701873583,0.009874561686761934
CPD,-0.00985232539916424,0.3273900071834538,0.5907901493265052,-0.029561337681249845,0.009864344776607002
C1orf115,-0.009864101694888853,0.32681210276058037,0.5902839162691101,-0.029573104825477016,0.009852568480938833
IL11RA,-0.009866337040421206,0.32670248131589585,0.5902839162691101,-0.02957533843327927,0.009850333134799593
IFIT3,-0.009878998242809479,0.32608202616623205,0.5900390354967827,-0.02958798978928993,0.009837671925254757
AC115618.1,-0.009895495070008888,0.32527475805366024,0.589115323664704,-0.029604473777744986,0.009821175079245804
NEU4,-0.009917329726505447,0.3242082851466982,0.5882003074807528,-0.029626291424818582,0.009799340381349953
NLRC4,-0.009929074450938132,0.32363557880076976,0.5882003074807528,-0.029638026992222073,0.009787595626872194
TNFRSF8,-0.009932489872918955,0.32346915683385424,0.5882003074807528,-0.029641439750275257,0.009784180195133121
NDUFA4L2,-0.00993411749399453,0.32338986798291336,0.5882003074807528,-0.029643066101693098,0.009782552569245396
KIF11,-0.009934679424520431,0.32336249672362827,0.5882003074807528,-0.029643627593849843,0.009781990637033854
PCOLCE,-0.009936818287943417,0.3232583279290825,0.5882003074807528,-0.029645764788604468,0.009779851767080945
MIR210HG,-0.009937288594652264,0.32323542557442964,0.5882003074807528,-0.02964623472837188,0.009779381458912058
IAPP,-0.009952496467318257,0.32249542332214187,0.5882003074807528,-0.029661430730896287,0.009764173534332631
CTC-479C5.12,-0.009959775374400565,0.3221416291390825,0.5882003074807528,-0.029668703953377878,0.009756894599175581
AC005082.12,-0.009962283141176372,0.322019796807537,0.5882003074807528,-0.029671209761182208,0.009754386822243371
EHBP1L1,-0.009968447990219642,0.3217204239152617,0.5882003074807528,-0.029677369793428224,0.009748221947178315
RP11-47L3.1,-0.009980404016714493,0.3211403420544807,0.5882003074807528,-0.029689316474023238,0.00973626586594503
MT1E,-0.009987579435271766,0.3207925336694688,0.5882003074807528,-0.029696486280927775,0.009729090411829532
WDR62,-0.009995947025516842,0.32038724902915905,0.5882003074807528,-0.029704847324601314,0.009720722777553783
NHS,-0.010004618188164751,0.31996761407694474,0.5882003074807528,-0.029713511700261108,0.009712051566364423
RECK,-0.010017941209692028,0.31932355619907493,0.5882003074807528,-0.029726824287981915,0.009698728464476274
CAPN10,-0.01004045698606339,0.31823703395690506,0.5882003074807528,-0.029749322415429165,0.00967621253638398
DDR1-AS1,-0.010055716702937161,0.31750203864126547,0.5879118905810745,-0.029764570159666135,0.009660952705316946
JAK3,-0.010068414068457265,0.3168913095630974,0.5873288977429957,-0.029777257555955797,0.009648255237778645
PIAS3,-0.010080513510406442,0.31631005727903483,0.5867994987840038,-0.02978934749222008,0.009636155692699154
DACT3,-0.010092112940103991,0.31575348262448466,0.5863769530246952,-0.029800937803643256,0.009624556158712596
RP11-386G11.5,-0.010100326041829644,0.3153597829686796,0.5863769530246952,-0.029809144445871186,0.009616342979935282
ADAMTSL4-AS1,-0.010107290608938741,0.31502618525265,0.5863769530246952,-0.029816103533356897,0.009609378345403319
RP3-399L15.3,-0.01011588844027415,0.3146146752683766,0.5863769530246952,-0.029824694597404316,0.00960078042819523
KIF13A,-0.010118240380041735,0.31450216814032583,0.5863769530246952,-0.029827044685470688,0.00959842846442932
UNKL,-0.010120803963537124,0.31437956697433667,0.5863769530246952,-0.029829606250387865,0.009595864854527587
DOK3,-0.010126020498407424,0.314130187733098,0.5863769530246952,-0.02983481867693368,0.00959064826512376
KLRB1,-0.010133965663663176,0.31375061486774225,0.5863769530246952,-0.02984275758285031,0.009582703014747406
VENTX,-0.010139017842448387,0.3135094087260032,0.5863769530246952,-0.029847805780148073,0.009577650780540792
AP5Z1,-0.010147897992544447,0.3130857395612221,0.5863769530246952,-0.029856678929597806,0.009568770530591585
HOXA5,-0.010150558156816881,0.3129588973552825,0.5863769530246952,-0.029859336996131098,0.009566110335801493
ALS2,-0.010169463514490273,0.3120584249909557,0.5863769530246952,-0.029878227437481517,0.00954720475320454
TOP2A,-0.010177019188866173,0.3116990221190299,0.5863769530246952,-0.029885777146494336,0.00953964898499375
HP,-0.010177162560897197,0.3116922049404388,0.5863769530246952,-0.0298859204053084,0.009539505611160405
LONRF1,-0.010208369063442666,0.31021070960554975,0.5853310442652246,-0.029917102245666658,0.009508298697028227
RP11-350G8.5,-0.010208731779765596,0.31019351740855716,0.5853310442652246,-0.029917464675112977,0.009507935975695587
RP13-1032I1.7,-0.010218944230370848,0.30970972108177053,0.5853310442652246,-0.029927669046443776,0.009497723381909963
CCL13,-0.010219051032335693,0.3097046641668264,0.5853310442652246,-0.029927775763893737,0.009497616578426004
RP3-475N16.1,-0.01022104095157236,0.3096104544096775,0.5853310442652246,-0.02992976410837879,0.009495626630803122
C10orf95,-0.010225073142402879,0.30941961439339427,0.5853310442652246,-0.029933793107798028,0.009491594381974547
PPP1R3B,-0.010225736426754232,0.3093882291776594,0.5853310442652246,-0.02993445586710963,0.009490931088021258
AATK,-0.010267644934127781,0.3074094713992289,0.5850506238997789,-0.029976331165589745,0.009449021938784434
ALKBH6,-0.010292241155289558,0.3062520423059881,0.5834072015138065,-0.030000907864141706,0.00942442530865555
RP11-10L12.4,-0.01029692543624513,0.30603194097106756,0.5834072015138065,-0.030005588424369952,0.009419740947108712
CTC-250I14.6,-0.010325758855427893,0.3046794480994822,0.5815276004591079,-0.030034398922115697,0.00939090701280085
PQLC1,-0.010326752517903926,0.30463290906389306,0.5815276004591079,-0.03003539179408532,0.009389913331988046
LINC00954,-0.010367523829756324,0.3027274178399062,0.5789151487593581,-0.03007613063685645,0.009349141234175216
ABCA7,-0.010373118066403904,0.3024665847872521,0.5789151487593581,-0.03008172041330896,0.009343546884571152
RPP21,-0.01039296851951351,0.301542257577025,0.5777619510525045,-0.03010155503002324,0.00932369602068958
CDC42SE1,-0.010399331713500468,0.3012463567727425,0.5777526745834722,-0.030107913144263795,0.00931733269173774
PLCB1,-0.010407906854742206,0.30084790208058276,0.5775465044777145,-0.030116481437435748,0.009308757366089182
GMEB2,-0.010432916376406826,0.29968780908080206,0.5759334075086234,-0.030141470970064706,0.009283747290036547
PRR7,-0.01043959043815381,0.29937873061872455,0.5759334075086234,-0.030148139693356352,0.00927707307617532
VPS16,-0.010451199377419246,0.2988416227595423,0.5759334075086234,-0.0301597393426714,0.009265463868135291
FBP1,-0.010462317562940355,0.29832782373348954,0.5759334075086234,-0.030170848625986846,0.009254345420218952
AMFR,-0.01046359758992879,0.29826870838589714,0.5759334075086234,-0.030172127627759556,0.009253065362708236
TMEM144,-0.01048399049912178,0.2973279598781817,0.5758009759592105,-0.030192504194896108,0.00923267195853033
TAF10,-0.010497197843784594,0.29671974897410114,0.5751842790171785,-0.030205700946984618,0.009219464284542676
RAB37,-0.010498524782868753,0.29665868818291363,0.5751842790171785,-0.030207026821455266,0.009218137311991016
