,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
CHD3,-0.004765566341769485,0.8086953263116665,0.9012962993268122,-0.04331775504216921,0.03380079373620913
AC084018.1,-0.0047717379906009345,0.8084523856923577,0.9012962993268122,-0.04332391524878302,0.03379462899697494
ANKRD13A,-0.00480363616148589,0.8071970415759528,0.9012962993268122,-0.04335575423382852,0.03376276649156573
RP11-425A6.5,-0.00483703153753367,0.8058833068588673,0.9008267178698613,-0.043389087562120926,0.033729408371022784
AC002310.12,-0.0048949305609380725,0.8036069263647674,0.89929601296915,-0.04344687880721297,0.033671573735481325
ZNF780A,-0.004972535491255998,0.8005583928432352,0.8964370397208191,-0.04352433887226032,0.03359405470229034
KLHL2,-0.0050220567422421414,0.7986146451059368,0.8955873100177675,-0.04357376743958002,0.03354458802143925
ZCCHC24,-0.005025746068338805,0.7984698859215333,0.8955873100177675,-0.043577449853202666,0.033540902753246914
BRICD5,-0.0050708373092600185,0.7967011882621562,0.8951039412599748,-0.04362245652466878,0.033495861023620156
FAM222B,-0.005096241341708705,0.7957051772751002,0.8944917043857843,-0.043647812842472516,0.03347048481643183
AC137934.1,-0.005177301691929063,0.7925292905956154,0.8914268764895662,-0.04372872061053416,0.03338951291984907
RP6-99M1.2,-0.005177778711593681,0.7925106114248667,0.8914268764895662,-0.04372919673079467,0.033389036419213286
CCR2,-0.005215476459470287,0.791034817372038,0.8914268764895662,-0.04376682334549396,0.03335137963352817
TNFAIP3,-0.005239912077002283,0.7900786094539805,0.8914268764895662,-0.04379121279619629,0.033326970509127814
CLTCL1,-0.005263113496005076,0.7891709900330751,0.8911879688129772,-0.043814370337642544,0.033303794202555935
DLEU7,-0.005401331491491032,0.7837699844611131,0.8871095200835545,-0.04395232608250437,0.03316572494998574
FBLIM1,-0.00547922280958914,0.7807308651460237,0.8856918224167993,-0.044030068964266575,0.0330879168058924
ABCD1,-0.005504990969235816,0.7797261915264233,0.8850584074395521,-0.04405578791513107,0.033062176059123795
ACOX1,-0.0055164276293169735,0.7792804057544508,0.8850584074395521,-0.04406720271854837,0.033050751549283344
IL10RB-AS1,-0.005527937908812509,0.7788318236278065,0.8850564505753239,-0.04407869099052249,0.03303925348806528
WARS,-0.005701601318792465,0.7720727737715931,0.8783822779053753,-0.04425202112069861,0.032865773184572636
TRMT44,-0.005793117645315251,0.7685178267911561,0.8753675036245393,-0.04434336088321498,0.03277435241563432
