,Osteoclasts_corr,Osteoclasts_pval,Osteoclasts_qval,Osteoclasts_ci_low,Osteoclasts_ci_high
NLRP3,-0.008153508651665921,0.6787010535062241,0.9999402028067165,-0.046698975282264917,0.03041620303008793
KCNE1,-0.008161412727989486,0.6784070061440832,0.9999402028067165,-0.04670686264337035,0.030408305738767134
CDH23,-0.008208189742875918,0.6766678108968505,0.9999402028067165,-0.04675354063774409,0.03036156877954405
CALD1,-0.008217126596909813,0.676335729344359,0.9999402028067165,-0.0467624585545334,0.03035263955904584
TNNT1,-0.008217535965283213,0.6763205192686947,0.9999402028067165,-0.04676286705530572,0.030352230540192565
SDPR,-0.008218930197453938,0.6762687175838396,0.9999402028067165,-0.04676425833249255,0.030350837498325144
PROK2,-0.00822093070840321,0.6761943927252456,0.9999402028067165,-0.046766254603228495,0.030348838695018202
SLC30A1,-0.008222537336123634,0.6761347040683419,0.9999402028067165,-0.04676785782537384,0.030347233438496816
LONRF1,-0.008233876146372252,0.6757135079121716,0.9999402028067165,-0.0467791725950556,0.03033590429985834
RP11-792A8.4,-0.008237680302926959,0.675572219846153,0.9999402028067165,-0.04678296868381453,0.03033210338589654
SUN1,-0.00828855614306371,0.6736837678217344,0.9999402028067165,-0.046833736520255985,0.030281270804174896
ZSCAN16-AS1,-0.00829356347624851,0.6734980122331735,0.9999402028067165,-0.046838733212670985,0.030276267717812
SLC25A53,-0.008336782730357,0.6718955480761781,0.9999402028067165,-0.0468818605440773,0.03023308503850953
RP3-525N10.2,-0.008341196719479079,0.671731971830968,0.9999402028067165,-0.04688626513703203,0.030228674776674933
ILF3-AS1,-0.008357060840839436,0.6711441980282551,0.9999402028067165,-0.04690209547567236,0.03021282403899414
CHD3,-0.008373416616309028,0.6705384185856049,0.9999402028067165,-0.04691841640117155,0.030196482041675524
ULK1,-0.008376811620090638,0.6704127024353735,0.9999402028067165,-0.04692180416848997,0.03019308989527032
RN7SL1,-0.008378221132935472,0.6703605112321255,0.9999402028067165,-0.04692321067669244,0.030191681568469138
RP11-488L18.10,-0.00838025240457734,0.6702853004454996,0.9999402028067165,-0.046925237618027006,0.03018965200578449
CIC,-0.008384001201463223,0.6701465044599453,0.9999402028067165,-0.04692897842231593,0.03018590636201563
USP20,-0.008393410218736868,0.6697981932416093,0.9999402028067165,-0.04693836737439602,0.03017650525390502
APOD,-0.008469103613526617,0.6669986955521097,0.9999402028067165,-0.04701389910150502,0.030100875238260428
RP11-561P12.5,-0.008492133386504062,0.6661478623380349,0.9999402028067165,-0.047036879599514136,0.030077864660811568
