,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
CTD-2007H13.3,0.0008831820708627397,0.9586460992997898,0.9996098483911123,-0.03248854025883941,0.03425293736495698
LLGL1,0.0008811822250918107,0.9587396560274063,0.9996098483911123,-0.03249053799518756,0.03425093986384115
LYPD3,0.0008769961063647645,0.9589354927511207,0.9996098483911123,-0.03249471969756376,0.0342467586521318
TKTL1,0.0008577416429908402,0.959836294670404,0.9996098483911123,-0.03251395383245314,0.03422752674402341
IDO1,0.0008565647843411514,0.9598913545667063,0.9996098483911123,-0.03251512944779699,0.034226351263180396
LILRB5,0.0008529629894390929,0.9600598674554732,0.9996098483911123,-0.03251872743696769,0.03422275368450424
COL27A1,0.000848465719436304,0.9602702783742433,0.9996098483911123,-0.03252321995384728,0.03421826167774773
AC115618.1,0.00084015439300358,0.96065914240014,0.9996098483911123,-0.03253152249256685,0.03420996007468059
HAMP,0.000839593630136016,0.9606853792849992,0.9996098483911123,-0.032532082662364015,0.03420939996767996
RP6-99M1.3,0.0008356479654391225,0.9608699896258451,0.9996098483911123,-0.03253602415347977,0.03420545891723054
RNF103,0.0008309165816933072,0.9610913650692995,0.9996098483911123,-0.032540750531170684,0.03420073306522097
IL6,0.0008236870275825578,0.9614296325200699,0.9996098483911123,-0.032547972433147165,0.03419351196072069
RP4-549L20.3,0.0008214842039024867,0.9615327029904883,0.9996098483911123,-0.03255017292455197,0.03419131171091932
AC006129.4,0.0008213496286172458,0.961538999810337,0.9996098483911123,-0.03255030735734297,0.03419117729286743
CNKSR3,0.0008162228530713203,0.9617788850297638,0.9996098483911123,-0.032555428703533534,0.03418605650637916
ITGA10,0.0008049364020309415,0.9623069976965267,0.9996098483911123,-0.03256670319582654,0.03417478323390499
FAM177B,0.000803553392808449,0.962371712243984,0.9996098483911123,-0.032568084739074424,0.03417340183896205
GNG11,0.0007836147625081346,0.9633047191993975,0.9996098483911123,-0.03258800222047338,0.03415348646731076
ERRFI1,0.0007830978218848812,0.9633289095583487,0.9996098483911123,-0.032588518612425316,0.03415297012935243
COL6A3,0.000774808323104782,0.9637168232106318,0.9996098483911123,-0.03259679931044935,0.034144690292286096
RP5-1142A6.8,0.0007630187976898591,0.9642685381399659,0.9996098483911123,-0.032608576311324994,0.03413291450010369
CRIP2,0.0007621614752673501,0.9643086589644057,0.9996098483911123,-0.032609432722614164,0.034132058175986635
LINC01116,0.0007584530298873215,0.964482207180166,0.9996098483911123,-0.03261313722621916,0.03412835404832574
TFPI,0.0007578154794896938,0.9645120435001591,0.9996098483911123,-0.032613774098860335,0.03412771724013158
C5orf27,0.0007493476987888334,0.964908326536124,0.9996098483911123,-0.03262223287520374,0.03411925931461689
IFNG,0.0007454679930919277,0.9650898954926289,0.9996098483911123,-0.03262610845375319,0.034115384122700224
PPBP,0.0007453273152653293,0.9650964792029044,0.9996098483911123,-0.03262624898191088,0.034115243608524096
YRDC,0.0007434694957024775,0.9651834252227567,0.9996098483911123,-0.03262810482479249,0.034113387950038376
PICK1,0.0007347229957283116,0.9655927672660592,0.9996098483911123,-0.032636842015581244,0.034104651621190626
ANGPTL4,0.0007267293566326412,0.9659668828456895,0.9996098483911123,-0.03264482714232507,0.034096667273274615
RP11-529G21.2,0.0007258300138546746,0.9660089740507526,0.9996098483911123,-0.03264572552713467,0.03409576897555564
TPSAB1,0.0007190214200099429,0.966327634166766,0.9996098483911123,-0.03265252686680327,0.03408896829171945
SLC9A3R2,0.0007166763774817178,0.9664373895774234,0.9996098483911123,-0.03265486941010419,0.03408662597287183
IL1RL2,0.0007128196559318129,0.9666178977306297,0.9996098483911123,-0.032658722020558674,0.03408277372996487
PGAP1,0.000711252903029043,0.9666912277739447,0.9996098483911123,-0.03266028710308854,0.03408120879618086
SPP1,0.0007105973324436505,0.9667219110745976,0.9996098483911123,-0.03266094197469745,0.034080553986713995
AC040977.1,0.0007065964712514356,0.9669091682947036,0.9996098483911123,-0.03266493856950695,0.03407655776990726
MMP9,0.0007033533522659502,0.9670609613144664,0.9996098483911123,-0.03266817822935715,0.03407331841490187
PPFIBP1,0.0006991104342547295,0.9672595513689367,0.9996098483911123,-0.03267241662078103,0.034069080420183785
CFH,0.0006939492303418936,0.9675011245894845,0.9996098483911123,-0.032677572316808644,0.034063925203484384
RP11-299J3.8,0.0006921098791922559,0.9675872172361982,0.9996098483911123,-0.03267940970462751,0.034062087985630186
RP11-307C12.13,0.0006902769297441061,0.967673010620554,0.9996098483911123,-0.0326812406973537,0.03406025716182837
AC091814.2,0.0006827285584719453,0.9680263250680319,0.9996098483911123,-0.03268878100817949,0.03405271754193851
PF4,0.0006709552610788726,0.9685774069156262,0.9996098483911123,-0.03270054172600142,0.034040957886613314
CRIM1,0.000666466505967768,0.9687875195151153,0.9996098483911123,-0.032705025682519456,0.03403647433032244
C8orf82,0.0006633018272866759,0.9689356551771995,0.9996098483911123,-0.03270818697727135,0.034033313316125455
TRPV4,0.0006611440283573991,0.9690366603502516,0.9996098483911123,-0.032710342468525444,0.034031158015398744
CAV2,0.0006590420403889883,0.9691350535256334,0.9996098483911123,-0.03271244220820767,0.03402905846071903
RP11-175O19.4,0.0006558941832382248,0.9692824042765689,0.9996098483911123,-0.03271558669785974,0.03402591424701796
SMAGP,0.0006528922289527761,0.9694229263112846,0.9996098483911123,-0.032718585440114294,0.034022915766693314
AEBP1,0.000650987693955778,0.969512078438563,0.9996098483911123,-0.03272048793698553,0.03402101343537575
LA16c-358B7.3,0.0006476602287147123,0.9696678394743413,0.9996098483911123,-0.03272381184078091,0.03401768981966309
KRT18,0.0006336166593191988,0.9703252417051093,0.9996098483911123,-0.03273784037096009,0.03400366248907367
C3,0.0006330654990953927,0.9703510428218317,0.9996098483911123,-0.032738390940679915,0.03400311196589721
RP6-91H8.3,0.0006306908098480231,0.9704622080095545,0.9996098483911123,-0.03274076308549273,0.03400074002115458
EXOC3L1,0.000625214331715889,0.9707185779343149,0.9996098483911123,-0.032746233694248936,0.03399526987093122
TMEM110,0.0006197969574022553,0.9709721840122014,0.9996098483911123,-0.0327516452605634,0.033989858754266536
PRKCZ,0.0006120058841010958,0.9713369163077789,0.9996098483911123,-0.032759427977578096,0.033982076677061435
DUSP4,0.0006073571186423962,0.9715545470635465,0.9996098483911123,-0.03276407175509303,0.03397743327745172
STXBP5-AS1,0.0005952524535245251,0.9721212337301516,0.9996098483911123,-0.03277616342561773,0.033965342577413946
F3,0.000594451013569925,0.972158754089446,0.9996098483911123,-0.03277696400486617,0.033964542061731086
CTA-384D8.35,0.0005912564571600471,0.972308311636922,0.9996098483911123,-0.03278015513005773,0.0339613511890622
RARRES2,0.0005909071382878997,0.9723246655389862,0.9996098483911123,-0.032780504073691194,0.03396100227295909
CNN3,0.0005888596375111805,0.9724205226811531,0.9996098483911123,-0.03278254937487692,0.033958957132812884
FCGBP,0.0005690864380252371,0.9733462580685669,0.9996098483911123,-0.03280230131800909,0.03393920671611298
CCL4L1,0.0005642500892836311,0.9735726902213722,0.9996098483911123,-0.032807132463667996,0.03393437593587107
AC113189.5,0.0005606375752411529,0.9737418252646224,0.9996098483911123,-0.032810741090246794,0.03393076758020597
CTD-2562J15.6,0.000559025734665563,0.9738172907435939,0.9996098483911123,-0.03281235119602338,0.033929157594744935
KB-1208A12.3,0.0005580271477033998,0.9738640441471439,0.9996098483911123,-0.032813348708134994,0.033928160156998885
VCAM1,0.0005431783607216468,0.9745592683427347,0.9996098483911123,-0.032828181504461235,0.033913328450785866
SLAMF9,0.0005430091305521661,0.9745671918570702,0.9996098483911123,-0.032828350552302064,0.03391315941519951
CALD1,0.0005425174788651121,0.9745902114617305,0.9996098483911123,-0.032828841674272545,0.03391266832880938
MYL9,0.0005425174690727125,0.9745902119202203,0.9996098483911123,-0.032828841684054394,0.03391266831902824
SLCO2B1,0.000538504046280107,0.9747781250232552,0.9996098483911123,-0.032832850782092464,0.033908659510232274
COL1A2,0.0005382191071517067,0.9747914662565453,0.9996098483911123,-0.032833135414137425,0.03390837489864085
SULT1B1,0.0005369989669053683,0.974848594943872,0.9996098483911123,-0.03283435423935798,0.03390715616088212
LINC00954,0.0005316648084454284,0.9750983492770233,0.9996098483911123,-0.03283968264767737,0.03390182813259393
TGM2,0.0005269483417581662,0.9753191842686478,0.9996098483911123,-0.03284439402850607,0.03389711708462883
HSPG2,0.0005239518744149356,0.9754594862197005,0.9996098483911123,-0.03284738726392934,0.0338941240591398
LAMB3,0.0005224053498104328,0.9755318985923276,0.9996098483911123,-0.032848932120254186,0.033892579310696974
COL6A1,0.0005203486939136376,0.9756281969735116,0.9996098483911123,-0.03285098655733129,0.03389052501659345
LIF,0.0005178689136055883,0.975744307695012,0.9996098483911123,-0.0328534636619576,0.0338880480836053
LINC00309,0.0005159756894453817,0.9758329544514662,0.9996098483911123,-0.03285535484305387,0.033886157032996723
RFX2,0.0005148175450456552,0.9758871825905622,0.9996098483911123,-0.03285651173752973,0.03388500021810867
FABP3,0.0005125664299398601,0.9759925875399835,0.9996098483911123,-0.03285876042287045,0.03388275168695317
SSC5D,0.0005045565125480916,0.9763676427983783,0.9996098483911123,-0.032866761691932714,0.03387475096103335
WDR62,0.0005032864104481838,0.9764271143643184,0.9996098483911123,-0.032868030422307036,0.03387348231599727
