,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
PCOLCE,0.002842787273632045,0.8550914296085474,0.9074628830208867,-0.027659350905608025,0.03333963658002626
ANAPC2,0.0028062458634625603,0.8569338825615054,0.9084334282920561,-0.027695864614533786,0.03330313545112194
RP5-1068E13.7,0.002740993853140163,0.8602258839475104,0.9114298056110527,-0.027761066956285014,0.03323795516872447
GDPD3,0.0024822522115858243,0.8733029202951278,0.9230897168218015,-0.028019609093634167,0.0329794953937329
INPPL1,0.0024160892753351602,0.8766525649055615,0.9233382044567453,-0.028085720359394165,0.03291340387882255
POFUT2,0.002389705331219887,0.8779889298070476,0.9242485615925803,-0.028112083624330656,0.032887048341170136
PSD4,0.002169693218581153,0.8891458721417911,0.9319848060244256,-0.028331921643909116,0.03266727145464697
ARFGAP1,0.0019482363075196615,0.9003982839019526,0.9397547120895646,-0.02855320033899162,0.03244604833592465
IDO1,0.0019358092805761547,0.9010303264335138,0.9399133612982525,-0.028565617276786855,0.03243363433966096
AC113189.5,0.0018680688630174959,0.9044767180298784,0.9425042117629068,-0.028633302532328982,0.032365964787617336
RAI1,0.0018500818055953911,0.9053921405468601,0.9428471732243925,-0.02865127489563166,0.03234799650007893
ZCWPW2,0.0018426793431392248,0.9057689136032085,0.9428471732243925,-0.028658671305085766,0.03234060175652656
CCR7,0.001822281262202685,0.9068072515220511,0.9434264604039193,-0.02867905268920553,0.03232022492837384
CPNE8,0.0017239005612270282,0.9118173981951035,0.947129159504516,-0.028777352504681625,0.03222194637434698
DCUN1D2,0.0017058720098819583,0.9127359082118,0.9475805452167042,-0.028795366169562,0.03220393647778946
RP11-212P7.2,0.0016949164516859424,0.9132941237549133,0.9476576016492423,-0.028806312671900175,0.03219299224602749
RNU11,0.0015517516694968318,0.9205925887488782,0.9522030051612802,-0.02894935844172585,0.03204997480290585
LCAT,0.0015130305639269438,0.9225677454280415,0.9537421571003725,-0.028988047143945712,0.032011293332867556
DNAJC5,0.0014881942459888029,0.9238348936374413,0.9545481381224855,-0.029012862629765636,0.03198648238968103
MAP3K6,0.0014756838816491387,0.924473245430483,0.9547039106291592,-0.02902536248646771,0.03197398479268659
AMPD2,0.0014575882446505048,0.9253966763352701,0.9551477887804514,-0.029043442907798332,0.03195590760616152
RP13-516M14.4,0.0014385851706347679,0.9263665224178126,0.9551477887804514,-0.02906242998164521,0.03193692388637114
ATP13A2,0.0014165610109333534,0.9274906901983354,0.9558035638991267,-0.02908443556995305,0.031914922130276364
PLEC,0.0012558363610167616,0.9356987139359157,0.9622363875454427,-0.029245023797180317,0.03175436007918128
HIST1H2AE,0.0012031751224768116,0.9383895924642959,0.9640002110590028,-0.029297639994537664,0.03170175177357862
SH3GLB2,0.0011472448748111128,0.9412482800288589,0.9664206252210308,-0.02935352221994598,0.031645877559676364
