,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
TMEM91,0.06488304427643045,0.0007851296650378516,0.00538493526444689,0.02704398852450793,0.10253643174835383
F5,0.06476180958416582,0.0008031914355393218,0.005489417522471209,0.02692233090323818,0.10241596398743867
RPH3A,0.06469630869579579,0.0008131094607856723,0.005537703380298211,0.026856601980454056,0.10235087699848308
STAB1,0.06439733239543242,0.0008598385454196649,0.0058151450057824725,0.02655658898082124,0.10205378583169473
TESC,0.06329382172858529,0.001054705731205949,0.007034995959693289,0.02544931090452286,0.10095717496893013
LIN7A,0.06307475324035118,0.0010979498053391781,0.00727344905175203,0.025229505558189896,0.10073946533910853
CTB-61M7.2,0.06242385354669445,0.0012362909590753956,0.008106894430963995,0.024576438088071906,0.10009258182567903
SLC24A4,0.062328926574423654,0.0012577603405984582,0.0082199084885576,0.024481197667071523,0.09999823791082402
HOMER3,0.06183273554797966,0.0013756880295188562,0.008900701550987,0.023983379399455572,0.09950508354918822
LILRA6,0.061700831248759455,0.0014087082204519942,0.00908406197972532,0.02385104568278839,0.09937398338391006
PELI1,0.061425347632037934,0.0014800388568728538,0.00944985335917832,0.02357466950078763,0.0991001749916603
RASSF3,0.061308958118998835,0.001511162956217072,0.00961694196071258,0.023457904624930505,0.09898449153251011
NLRP12,0.06119402815951127,0.001542486928457248,0.009783639892053149,0.02334260502310886,0.09887025777351081
GPR34,0.06109181474000448,0.0015708459012693686,0.009884544394565861,0.02324006370669042,0.0987686626884104
CCR1,0.0608986729350213,0.0016257464165274724,0.010179270304773625,0.02304630448415614,0.0985766871397442
RP3-525N10.2,0.06053853153738935,0.001732854995639266,0.010745915484139985,0.022685019415030223,0.09821871290884716
CPD,0.0604644096978684,0.0017556885488165105,0.010852839086792505,0.022610663419669358,0.09814503589075892
ACP5,0.06033925853891497,0.0017948701652555489,0.010990040980318676,0.022485117850345546,0.0980206348538689
EHBP1L1,0.060279552072265714,0.001813844281787825,0.011071294814308706,0.022425223641090602,0.09796128583665262
YPEL3,0.06015231839558983,0.0018548938378343531,0.011251090435113999,0.02229759079393823,0.09783481298575582
LYPD2,0.05834643665575851,0.002537169165670222,0.014833269128210544,0.02048617649447906,0.09603959872416791
SMARCD3,0.05826929733739724,0.0025708718049767014,0.014985171692071404,0.02040880638459066,0.09596290961213357
THBS1,0.057798074252892635,0.002785788357287041,0.016045148965858,0.0199361833032236,0.0954944269990671
LYL1,0.05753565536657005,0.0029124619832357384,0.01657797275501633,0.019672992109560486,0.09523352701135136
ZNF217,0.057416746832663616,0.0029715722781618664,0.016864975999743223,0.01955373535153455,0.09511530502314136
BCL2A1,0.05672401720118029,0.0033382189498322844,0.0187268294266603,0.018858998479258832,0.09442655388135422
FOLR3,0.056568404390297526,0.0034260473635455446,0.01899987980754829,0.018702939796832647,0.09427182982242102
DNAJC5,0.05644721977262644,0.0034958945239153805,0.019277077474203843,0.018581409231293523,0.09415133606532061
SOCS3,0.05619970806111019,0.0036425912314825793,0.01987429671687215,0.018333194420139805,0.09390523195954946
RP11-597D13.9,0.056195460280545374,0.003645156945495356,0.01987429671687215,0.01832893461376171,0.09390100829600598
ARRB1,0.056076633642982696,0.0037175985980168313,0.02018513964809473,0.018209772125399374,0.09378285575355819
S100P,0.05587234813204277,0.0038452023057748766,0.020789798539022384,0.018004911737716532,0.09357972665729451
SULT1A1,0.05577405775582134,0.003908003626719206,0.02101228542787252,0.017906345896935755,0.09348199156237569
CX3CR1,0.055557754076894346,0.004049498552802215,0.02171291903588149,0.017689438606308956,0.09326690730925431
NISCH,0.05552597197890356,0.004070675884864281,0.021766341301712313,0.017657568118320803,0.09323530408830653
CYP27A1,0.055063404867129156,0.004390477517117861,0.023157382773711325,0.01719372325958145,0.09277533181075624
CHCHD10,0.0538376857354508,0.005350839989338514,0.027844451526289695,0.015964697147660783,0.09155641067859388
LFNG,0.05325574348697177,0.005870024189919609,0.030062577711435255,0.015381224887123448,0.090977656384469
APOBR,0.052922299021141636,0.006187554323960921,0.03143990299164437,0.015046915370258077,0.09064602708671185
NLRC4,0.052829303021017605,0.00627882619526115,0.03182036983029214,0.014953679621865291,0.09055353583585936
CSTB,0.05280977840388969,0.00629814195756297,0.031835139426119076,0.014934104752970481,0.09053411710876312
MEFV,0.0527870519230378,0.006320692631929553,0.03186614129500068,0.01491131981607292,0.09051151384683925
EGR1,0.05268194251668479,0.0064259363562987,0.032229308701746194,0.014805940563628212,0.09040697381939425
KCNE1,0.052568334447049225,0.006541458946349657,0.03264003037240278,0.014692041775570496,0.09029398023111197
NBR1,0.052525285730413866,0.006585718456863959,0.03273253665553887,0.014648883155818727,0.09025116410188473
PLIN2,0.05251752519972734,0.006593725828086399,0.03273253665553887,0.014641102827558197,0.09024344548564266
TNFRSF8,0.05213116473773994,0.007003604565358284,0.03432827389232431,0.014253762535287462,0.0898591660179698
CCR2,0.051752143001059674,0.007427768844748648,0.0363156154349046,0.013873790625542066,0.08948217483251776
PLAC8,0.05172532498192903,0.007458635586887863,0.03637490370389282,0.013846905790477575,0.08945550007729601
GLT1D1,0.05162600298886913,0.0075739559223393154,0.03684473294551532,0.013747336817986842,0.08935670819847842
KDM1B,0.05144342744541816,0.007790113865803254,0.037801527533810296,0.013564309231912253,0.08917510518421348
STAT1,0.05106203538750618,0.008259565222075787,0.03978118137977445,0.013181981066642506,0.08879573660169592
MAP3K1,0.05094546177798208,0.008408017898171775,0.040395947377107465,0.013065123543212171,0.08867977928889319
IFI6,0.050878250304358295,0.00849468918219073,0.04071158445094372,0.012997748846964549,0.08861292268135901
FAM65A,0.05015415218190806,0.00948031998396506,0.04513508412045608,0.012271914070530562,0.08789262612028784
GBP1,0.05014917297259093,0.009487436538457539,0.04513508412045608,0.012266923057434254,0.08788767291551385
IFI44,0.04989446122235312,0.00985789542782767,0.04655517037813505,0.01201161000218798,0.08763428893972258
VNN1,0.049875211412128105,0.009886409398105962,0.046576506411950665,0.01199231494916283,0.08761513927740783
