,Osteoclasts_corr,Osteoclasts_pval,Osteoclasts_qval,Osteoclasts_ci_low,Osteoclasts_ci_high
IGFBP2,-0.035747719685316925,0.19433700756630645,0.46338145773976086,-0.0895302273537928,0.01824265763538624
ZBTB45,-0.035764027800037027,0.19413341767371828,0.46338145773976086,-0.08954642543349398,0.018226334073674622
INTS5,-0.03579097171719898,0.19379739335899127,0.46338145773976086,-0.08957318749082539,0.018199364572265214
ZNF598,-0.03598701987910675,0.1913652578465399,0.4597610878389022,-0.0897679100738105,0.018003127889763094
RP11-6J24.6,-0.03604887089355031,0.19060261892486363,0.4585092151069597,-0.08982934202967029,0.017941216536005607
RPPH1,-0.03649434386545955,0.18517572154071515,0.4500173104792283,-0.0902717847054255,0.01749529674912549
SPAG4,-0.03656231493686272,0.18435781282780084,0.4489890241864446,-0.09033929154225359,0.017427255613271235
RP11-1055B8.4,-0.03662209032168561,0.18364073373385337,0.44897285556256594,-0.09039865825970912,0.01736741819884724
PHF21A,-0.03668551053869989,0.18288218800334632,0.4478843778456146,-0.09046164447282347,0.01730393174711652
CTC-479C5.12,-0.0367412604004822,0.18221730186535934,0.4468326084501964,-0.09051701246598207,0.017248123301822436
PEX11G,-0.03674617654681394,0.18215875672798099,0.4468326084501964,-0.09052189492234258,0.017243201973326162
MXD3,-0.03690012169041329,0.1803325041005437,0.4433563378015958,-0.09067478378388193,0.01708909323088837
CBWD5,-0.03715176918114542,0.17737650718940412,0.43779013087839924,-0.09092469915757631,0.016837172788250962
RCAN1,-0.03719345504370093,0.17689033982474167,0.437373633943013,-0.09096609743790499,0.016795441048918152
BNIP3,-0.0373542398768974,0.17502444778513215,0.43595328332832134,-0.09112577130862955,0.016634477504329677
EML1,-0.037440036838335085,0.17403480320852383,0.4346290216970766,-0.09121097431416578,0.01654858403502014
SULF2,-0.037467401769714845,0.17372003564393979,0.43441452918603124,-0.09123814963778645,0.01652118815485725
C2,-0.03754941018470937,0.17277927017871708,0.43263199841583777,-0.09131958934838472,0.016439086505721266
DNAJC27-AS1,-0.0376869772915151,0.17120970930345358,0.4303552459528519,-0.091456200852296,0.016301361365959752
TRIM25,-0.0379411773034804,0.1683375215480869,0.42543890266081086,-0.09170862975181614,0.01604686394620995
DBN1,-0.03798103350060567,0.1678904836173335,0.424874850540932,-0.09174820762832342,0.01600696048391808
ZFAND2A,-0.03801465559468957,0.16751406173802275,0.4244882365537612,-0.09178159480318643,0.015973298383915497
MT-ND6,-0.038055403943327556,0.16705870555921287,0.42390029833072995,-0.09182205827907874,0.015932501386001708
LINC00341,-0.03811516367433607,0.16639258098176968,0.42363099943039084,-0.09188139990713508,0.01587266998298234
DNAJC11,-0.03826469766158597,0.16473450861237382,0.4202501308417816,-0.0920298860215303,0.015722954960070142
PIP5K1C,-0.038318279618855595,0.16414341067796512,0.41987088068298895,-0.0920830919165236,0.015669307543823056
CCNT1,-0.03833460618738272,0.1639636190387631,0.41987088068298895,-0.09209930383682519,0.015652960967981296
AC091729.9,-0.0383449867392604,0.16384938327046716,0.41987088068298895,-0.09210961147969862,0.015642567680298765
BTBD9,-0.03839083214932618,0.16334558046797287,0.41987088068298895,-0.09215513475141718,0.015596665883375528
CSNK1G2,-0.038494604671128765,0.16220951527980976,0.4188757278926244,-0.09225817727286952,0.015492764887658004
MYH11,-0.038558055971092,0.1615178117980055,0.4183483728030274,-0.09232118164970439,0.015429234458426177
UBA1,-0.03866310017747349,0.16037758210728292,0.4171104564703898,-0.09242548502448841,0.015324058294649699
STK17A,-0.038695604510251745,0.16002598897008768,0.4171104564703898,-0.09245775987916179,0.015291512887623692
NBPF12,-0.03876478746380077,0.15927958797069974,0.4164086197911682,-0.09252645403023711,0.015222242129868726
PIF1,-0.03919571189456858,0.15468952518819568,0.40891465014929723,-0.09295432230348062,0.014790759120012502
RECQL5,-0.03930665980176103,0.15352414475576526,0.4069676351207297,-0.09306448014349705,0.014679664143449409
CTD-2260A17.2,-0.03960251505958358,0.15044911721112605,0.399374020233171,-0.09335822216323932,0.014383410192062993
RP11-727F15.9,-0.0396891686014701,0.14955740411099863,0.3975629593875005,-0.09344425498346924,0.014296638081512925
CNOT1,-0.03970164036929323,0.14942939484239198,0.3975629593875005,-0.093456637346721,0.014284149181542609
RP13-582O9.5,-0.03980855223527947,0.14833548251728465,0.3965362617152201,-0.09356278212670685,0.014177089762382616
RP11-111M22.2,-0.0398327958022571,0.14808827618725995,0.39649184961700285,-0.09358685157763288,0.014152812563759973
CTD-2583P5.3,-0.039846241724453994,0.1479513066196293,0.39649184961700285,-0.0936002009048196,0.014139347961402647
CYB5D2,-0.040014936676319064,0.1462410649535219,0.39421528251191623,-0.09376768231597477,0.013970416981158144
CUL9,-0.04014057441530507,0.14497718510348787,0.3924968344019902,-0.09389241427829002,0.013844601454642237
B9D2,-0.04043069170134448,0.14209062537403544,0.38804029778405646,-0.0941804335366642,0.013554067097843776
PLIN5,-0.04047772596559473,0.1416268324946897,0.3873310202808661,-0.0942271268178509,0.013506964358726075
ELF3,-0.040509434518091754,0.14131481850864105,0.3870353903743156,-0.09425860536024408,0.013475209508101983
PTCD1,-0.04063306018167063,0.14010337017733182,0.3853857921689504,-0.09438133323147367,0.013351402296950794
C19orf68,-0.0406686543768815,0.13975605433165256,0.3853857921689504,-0.09441666863218488,0.013315755523815458
S100A13,-0.04086781838673945,0.1378248760699949,0.3807738206417035,-0.09461438208263798,0.013116294787064381
PHF13,-0.040921930750633016,0.13730374454950023,0.3798870366690254,-0.09466809960069174,0.013062101060998216
AC005076.5,-0.041010133651003616,0.13645755669148735,0.3786497698836886,-0.09475565823333532,0.01297376486086483
AC062017.1,-0.04104260048430921,0.13614709510048112,0.37834141508157126,-0.09478788770709398,0.012941248748732398
RP11-229P13.20,-0.041046721944006825,0.13610772293680837,0.37834141508157126,-0.09479197902743534,0.012937121025231826
DEPDC5,-0.04109711141715704,0.13562706337983646,0.3782347167510607,-0.09484199986631558,0.012886654821298296
KCNQ1OT1,-0.04149647354034961,0.13186376925540041,0.3696879298260056,-0.09523843077730773,0.012486674840112623
CTC-425F1.4,-0.04150403446864361,0.13179330801114517,0.3696879298260056,-0.09524593604597262,0.012479102047579805
ASPHD2,-0.041733222060685075,0.1296712763816624,0.36569997410459915,-0.09547343357841759,0.012249551886769908
RABL6,-0.04191127905533274,0.12804101855568897,0.3626804000085555,-0.09565017368242605,0.012071209283109903
RALGAPA2,-0.04232901123706129,0.1242788130027075,0.3549863190260319,-0.09606480306256565,0.011652793565127901
PIAS3,-0.042405450423699004,0.1235997969233612,0.35443963659076705,-0.09614067246126286,0.01157622725472767
ARID5B,-0.04295481302968275,0.11880449734127349,0.3437361828563065,-0.09668592167623592,0.011025932396575898
CHMP1B,-0.04295962538630569,0.1187631438669622,0.3437361828563065,-0.09669069785751665,0.011021111729053977
ZSWIM4,-0.04315356250024823,0.11710596407778993,0.34142414718839526,-0.09688317505234818,0.010826837599213147
CX3CR1,-0.04412321363167325,0.10909070023610254,0.32555683812597896,-0.09784546657294585,0.009855440320553762
ENTHD2,-0.04431768032875195,0.107536614917203,0.3219313803041819,-0.09803844518319998,0.009660611162134214
SLC7A5,-0.04446198025040378,0.10639479395447354,0.3190163016202066,-0.09818163829022929,0.009516039634853528
TSPYL2,-0.0447593752514649,0.10407183928494805,0.31554049674573703,-0.09847674518496717,0.009218077750057006
PACS2,-0.044760224273919125,0.10406526562649071,0.31554049674573703,-0.09847758766166316,0.009217227095505
JMJD4,-0.04488373461118954,0.1031124759428806,0.3146422497421019,-0.09860014494368242,0.00909347849878138
CTA-384D8.34,-0.04490732439920795,0.10293128859277272,0.3145951461337884,-0.0986235525181104,0.009069843016486919
SERPING1,-0.04520896060091241,0.10063671121536447,0.30857589319347617,-0.09892285356486981,0.008767617218284953
AGRP,-0.045267660993000024,0.10019493876185272,0.30771843652102987,-0.09898109839076018,0.008708800940549289
HIST1H2AC,-0.04539322565631361,0.09925513684994512,0.30532617462106293,-0.09910568732720659,0.0085829871349955
LL22NC03-2H8.5,-0.045570417444876714,0.09794089022206788,0.30289472936075956,-0.09928149934442645,0.008405440859581921
CTD-2186M15.3,-0.045753806657389165,0.09659533384125958,0.2995718033181547,-0.09946345699561736,0.008221681177896978
SELK,-0.045830378422586485,0.09603790204326154,0.2984207150935438,-0.0995394299681216,0.008144953649294259
BCDIN3D,-0.045977444955329086,0.09497449008902126,0.29688395299340886,-0.09968534468138146,0.007997586169055899
VSIG4,-0.046304492407104186,0.09264342792565566,0.2915265287466924,-0.10000982243000962,0.007669861064116993
KBTBD4,-0.04632818263390361,0.09247637096480127,0.2915265287466924,-0.10003332607239722,0.0076461213000107945
MSANTD2,-0.046458837778953814,0.09155936170551411,0.289150862757181,-0.10016295109970919,0.007515191856226081
RP11-1000B6.3,-0.04653686138420194,0.09101523861663864,0.2879115381573002,-0.10024035867801871,0.007437003564879401
PCOLCE,-0.04656161583974079,0.09084314888885625,0.2879115381573002,-0.10026491755158204,0.007412196721670015
MT1E,-0.04660956867575441,0.09051053044332158,0.2878883157024884,-0.10031249133184507,0.007364142214436173
ANXA2R,-0.046828194755707396,0.08900643819459356,0.2854172891624276,-0.10052938611284476,0.007145049436877342
SEPP1,-0.04684161926119365,0.08891474014732513,0.2854172891624276,-0.10054270414340397,0.007131596105448477
TFPI,-0.04685585621498873,0.08881757560875568,0.2854172891624276,-0.10055682815740465,0.007117328559822723
ZNF235,-0.04698027621258269,0.08797206342003147,0.2849334067768255,-0.10068026022718742,0.006992640278029695
