,TAM_corr,TAM_pval,TAM_qval,TAM_ci_low,TAM_ci_high
CDC42SE1,0.07457924987404378,1.5865559083135963e-06,1.60127653014331e-05,0.04418000382412657,0.10484051463074162
IL1RN,0.07436687038840625,1.6989002586485478e-06,1.698558681929522e-05,0.04396685470318413,0.1046292933373848
MGP,0.07436432189474623,1.7002936754759263e-06,1.698558681929522e-05,0.043964296990923156,0.10462675872512674
C15orf39,0.07407603624805256,1.8652065537659604e-06,1.8438702938612393e-05,0.04367497110819113,0.104340040805323
APOD,0.07406135227982034,1.8740050484085118e-06,1.8438702938612393e-05,0.043660234291520425,0.10432543655536972
RRAD,0.07396782224211754,1.9309899383053456e-06,1.8810339801429956e-05,0.043566367944389124,0.10423241397964139
NNMT,0.0739678222413858,1.9309899387576205e-06,1.8810339801429956e-05,0.04356636794365475,0.10423241397891361
OAS1,0.07383916231401781,2.012103255706604e-06,1.9503456310265004e-05,0.04343724626601452,0.10410445125106318
HIST2H2BE,0.07246754550632158,3.1070128024591254e-06,2.9821230721642e-05,0.04206076996169806,0.1027402048581165
OASL,0.07223979790722566,3.3369722833670693e-06,3.187215478454986e-05,0.04183222664994356,0.10251367004044708
ERRFI1,0.07138808547477428,4.35019699384374e-06,4.056040816164783e-05,0.04097756667482989,0.1016664652406948
SNX29P2,0.07103180306897139,4.856250070200367e-06,4.50641594192053e-05,0.04062006447426117,0.1013120554073691
C10orf10,0.07074863637353081,5.298169983892645e-06,4.8933098247461315e-05,0.04033593386190233,0.10103037151629703
IL1RL2,0.07025739129934085,6.157587809314293e-06,5.6339051077744794e-05,0.03984302822653429,0.10054168733289744
CCL3L1,0.07020084111135917,6.264676940937867e-06,5.705226721095974e-05,0.03978628783137094,0.10048543100663919
PPIF,0.06976658832333021,7.148462517527588e-06,6.479948893203249e-05,0.03935058096555516,0.10005342835004537
TLE3,0.06955577850702023,7.619323481280281e-06,6.874947178039995e-05,0.03913906943141315,0.09984370675207152
ID3,0.06941582656170943,7.948134230089103e-06,7.118264815862799e-05,0.03899865313664776,0.09970447576434471
RP11-701P16.5,0.06941017397187484,7.961695580561557e-06,7.118264815862799e-05,0.038992981817207714,0.09969885226870975
PTGS2,0.0693487134431756,8.110582250878268e-06,7.218418203281658e-05,0.038931317768265444,0.09963770795593452
SLC7A5,0.06932301921347198,8.17361121620872e-06,7.241597629564105e-05,0.038905538523424696,0.09961214585586585
RNASE1,0.06904228251570807,8.893469532469846e-06,7.775996556350533e-05,0.038623875583183365,0.09933285020962808
GBP1,0.06904136046517999,8.895930687551173e-06,7.775996556350533e-05,0.03862295049847186,0.0993319328842204
IRF1,0.06899631599030498,9.016959574877726e-06,7.846758598938038e-05,0.03857775785963849,0.09928711918060205
PIK3R3,0.06896682478728429,9.097048876206704e-06,7.881425530802092e-05,0.038548169719154195,0.09925777899996237
PPP1R15A,0.06842326377035941,1.0700665611871285e-05,9.229913333940078e-05,0.03800283157088098,0.0987169920888637
IER5,0.06820088762630441,1.143162077834327e-05,9.817155036840404e-05,0.03777973360771031,0.09849574570105236
VMO1,0.06814584428566219,1.161977200925364e-05,9.935158774724292e-05,0.037724512068030874,0.09844098153932025
KCNMA1,0.06798442885632087,1.2188714749249772e-05,0.00010376305860448284,0.03756257513864226,0.09828038374830186
NDUFA7.1,0.06748408796813213,1.412598192189643e-05,0.00011973451343321736,0.03706062790406933,0.09778256727434206
LINC00309,0.06622923492352734,2.0358901555173412e-05,0.0001710846748713714,0.03580181367691234,0.09653397874869216
PET100,0.06597960718956923,2.1877774319324836e-05,0.0001830627440907608,0.035551409459298744,0.09628558584016679
LILRA3,0.06592206882792151,2.2242850158078987e-05,0.00018532553450859002,0.03549369266256688,0.09622833156636594
CDKN2D,0.06565445601704424,2.4018328292020958e-05,0.00019927070676176712,0.035225252611744334,0.09596203742185785
RPPH1,0.06528135088361763,2.67198341882511e-05,0.0002207335826298852,0.03485100147063681,0.09559076352911655
JUN,0.06526681191421335,2.6830741913132115e-05,0.0002207335826298852,0.03483641801695998,0.09557629574784833
NCF1,0.06491502272230142,2.9651556329373693e-05,0.00024291944474022465,0.03448355642082693,0.09522622514153667
COL27A1,0.06472675315930321,3.1274718444822954e-05,0.0002551495779790139,0.03429471604823219,0.09503887224652771
EREG,0.06427482242461134,3.552234537092935e-05,0.00028505226326344126,0.03384142398500115,0.0945891331587171
FOLR3,0.06413804187976217,3.691228564931794e-05,0.000294939249026612,0.03370423389109512,0.09445301349449182
APOBEC3B,0.0641240519001921,3.705732315980098e-05,0.000294939249026612,0.03369020208730302,0.09443909104621158
CTC-425F1.4,0.06402266223441481,3.8124731175361e-05,0.00030058729789483386,0.03358850966714384,0.09433819044598933
BCL3,0.06400488596551338,3.831485608814382e-05,0.00030058729789483386,0.033570680382382964,0.09432049985894142
IFIT5,0.06399887221007648,3.837937920005539e-05,0.00030058729789483386,0.033564648695935666,0.09431451508555203
SEPP1,0.06379464416135923,4.063280714075762e-05,0.00031696827243666697,0.03335981302342108,0.09411126997083959
CTA-29F11.1,0.06370536650267498,4.165681105787433e-05,0.00032366680972745215,0.03327027054701487,0.09402242120489872
GPR160,0.06358369623758761,4.309181320079759e-05,0.0003334931630322596,0.03314824016706736,0.09390133467013702
GRASP,0.0635554085272113,4.3432095568515775e-05,0.0003342365918156245,0.0331198688618535,0.09387318254554779
MAP3K7CL,0.06354736812109052,4.3529280343710034e-05,0.0003342365918156245,0.03311180470396241,0.09386518066903801
NR4A2,0.06281821411495186,5.3252891934694916e-05,0.0004073014156567681,0.032380513214116995,0.09313950448281584
GPR183,0.06267801519329814,5.534434312541362e-05,0.0004216506764185209,0.032239907040753406,0.09299997057037969
KRT18,0.06214849966918887,6.396649799287982e-05,0.0004854511746901499,0.03170886424080507,0.09247295596685023
COL1A2,0.06177284523193995,7.083792152039726e-05,0.0005355237464746634,0.03133213672797407,0.0920990654563488
IRF2BPL,0.06168991532444393,7.244617224371409e-05,0.0005434850775984375,0.03124897109249514,0.09201652380305769
FABP7,0.06076003265534305,9.30079630766759e-05,0.0006898090594853463,0.030316474094728145,0.09109096604254827
CBWD3,0.06074544065261864,9.337075645344948e-05,0.0006898865703239776,0.03030184148946499,0.09107644148999794
LTB4R,0.060706600117486756,9.434294939902779e-05,0.000694449229034949,0.030262892943360528,0.09103778042873507
JUND,0.060119356960344254,0.00011025709040663733,0.0008085519963153405,0.02967402799735353,0.09045323965618855
IGFBP5,0.06005128913648178,0.00011225733898945029,0.0008170998876318563,0.029605773557366464,0.09038548371616259
GEM,0.060051289135936756,0.00011225733900560232,0.0008170998876318563,0.02960577355681996,0.09038548371562007
RGS5,0.05986780308884576,0.00011782105784146016,0.0008544208564947369,0.02942178587487272,0.09020283699493138
SLC16A10,0.05969305938278063,0.00012336046604912113,0.0008912907473216943,0.02924656635269587,0.09002889072783624
PACS2,0.05963844967951789,0.00012514133177861806,0.0009008335574357874,0.029191808334393804,0.0899745298551522
ABL2,0.059590429419296896,0.0001267272979976876,0.0009089086061519132,0.029143657806462813,0.08992672825117973
RARRES2,0.05955470135311784,0.0001279195542307443,0.0009141112670941509,0.029107832910089265,0.0898911627790892
FXYD6,0.05941399136335894,0.0001327186186535188,0.0009449565648130538,0.02896674232879264,0.08975109239100319
MT-ND6,0.05936417190141706,0.00013445803917447216,0.0009538726112449873,0.028916788406283825,0.08970149909731952
PHLDA2,0.05914717686452509,0.0001422877399226836,0.0010057739883343483,0.028699209483021373,0.08948548741052194
HIF1A-AS2,0.05912919925314264,0.00014295531120581261,0.0010068579112984932,0.02868118362722175,0.08946759113973418
S1PR3,0.05886021450234821,0.0001533024248083409,0.0010758643289416898,0.028411479398241818,0.089199821084413
MAF,0.058204724710299555,0.00018154442980180413,0.001269514262685473,0.027754254872257876,0.08854727302133926
LIPA,0.05813914737980291,0.00018462423493915945,0.0012864564128500862,0.02768850544192252,0.08848198855778946
HNRNPU-AS1,0.058021352855087825,0.00019028003986568367,0.0013173341022947012,0.027570402441305715,0.0883647194461872
MT1X,0.05801886557995774,0.00019040120068917286,0.0013173341022947012,0.027567908661757255,0.08836224325628213
RP11-425A6.5,0.05796345634568217,0.00019311917417379806,0.0013314343064517486,0.0275123546262872,0.0883070808712476
LRG1,0.05705693903749841,0.000243099573474215,0.0016413412581465965,0.026603495024307935,0.08740457568432189
TNF,0.05659943865462494,0.0002727057304847945,0.001828622672223382,0.02614483164978876,0.08694908121926348
RP11-804H8.6,0.05657342606829296,0.00027448665780498437,0.0018342828531814313,0.02611875332325065,0.0869231823042679
ZBP1,0.05614201865715546,0.0003056580320065887,0.0020356409070370774,0.02568626168364368,0.08649365410061731
ANKRD37,0.056101254934695435,0.00030876875149195233,0.0020424635656123066,0.025645396101871054,0.08645306736114357
SPAG4,0.05603921637577539,0.00031355988128467104,0.002067172550691535,0.025583202717977482,0.08639129796037112
OTUD1,0.05600944355609462,0.00031588380651324024,0.0020755050105802832,0.02555335568022765,0.08636165422905358
ECE1,0.05571768163143835,0.00033952589819439107,0.0022159723622153923,0.025260869320925496,0.08607115447560207
DNAAF1,0.05544276170265066,0.00036330831195740594,0.0023633145342611323,0.024985271547064352,0.08579741913594137
PLAUR,0.055254824930943656,0.0003804524492235289,0.002458501305543464,0.024796874060882428,0.08561028951863216
RP6-109B7.3,0.055200068998601554,0.00038558785617775733,0.0024834902052501607,0.024741984305005904,0.08555576835021485
KLHL18,0.05504675061162344,0.0004003137322453891,0.0025688549572843475,0.024588292184799247,0.0854031063426469
ANGPTL4,0.05490622092546218,0.0004142709877780397,0.002639816485630291,0.02444742120416331,0.08526317703353693
LUM,0.05488511602191988,0.000416405922065156,0.002639816485630291,0.024426265149110494,0.08524216219185798
HNRNPH1,0.05478900467872053,0.0004262588928165504,0.0026923061681767926,0.024329921207885116,0.08514646064716327
AC069363.1,0.054598578762085896,0.00044642648961654326,0.0028106207931485267,0.024139036114543176,0.08495684501214963
AVIL,0.05457753123762338,0.0004487094070100563,0.002815939163223366,0.024117937974195452,0.08493588691209013
MSR1,0.054413325922576826,0.0004668974235139605,0.002920719345815766,0.023953338703542697,0.08477237833218046
GPM6A,0.05419079198201575,0.000492644759430192,0.00307196955084177,0.023730273502933066,0.0845507860099349
ZNF467,0.05408966287201915,0.0005047775461835199,0.003137633128340737,0.02362890396759039,0.08445008381984305
MAFB,0.054070970129215606,0.000507050441772563,0.0031417872309831593,0.02361016685306408,0.0844314699211627
RP11-290F20.3,0.05373655145128448,0.0005493594654365885,0.003371930511990095,0.02327495796803572,0.0840984582072676
BEST1,0.053443778461889524,0.0005890751938152064,0.0036044038421567943,0.022981498800194147,0.0838069114025752
GBP5,0.05326289624113218,0.0006149309401836688,0.003750887167849295,0.02280019526530328,0.08362678415040334
EGR2,0.05305426245123162,0.0006460628607535207,0.003904293460973437,0.022591078010211225,0.08341901869468626
PIM3,0.052736596305071694,0.0006962889689379751,0.004169216517371729,0.02227268085839915,0.08310266960575625
SPHK1,0.0525007000074427,0.0007359076484346735,0.004393009681814301,0.02203624572024069,0.08286774738421486
HES1,0.052451996536775916,0.0007443437578343972,0.004429863458479482,0.02198743142422623,0.08281924460228418
NMNAT1,0.05225109274303829,0.0007801008087424543,0.004628598131871896,0.0217860720068293,0.0826191671369845
TNFAIP3,0.05217358300165183,0.0007943171931934601,0.004698710163966148,0.021708387144157362,0.0825419755430314
TIMP3,0.052099115132306265,0.0008082016806541515,0.004766442441930207,0.021633751372675973,0.08246781299219696
IFITM1,0.05182193988548627,0.0008618829984666624,0.00506776850149467,0.021355954165075734,0.0821917712089565
MIR24-2,0.051710659329393706,0.0008843502408438747,0.005184304705306307,0.021244425227110734,0.08208094440582434
NDRG1,0.05169626740382872,0.0008872952372942203,0.005186042013797264,0.021230001233667455,0.08206661110932305
LRRC8B,0.051125404311755475,0.001011707773204172,0.0058781122253227566,0.02065787638142512,0.08149806343639648
TMEM154,0.05107976713949981,0.0010223201919503208,0.005922198035025823,0.020612139200167263,0.0814526105150769
ZSCAN16-AS1,0.050829361914709145,0.0010824046114882868,0.006251764688183084,0.020361187508432906,0.08120321400284435
DMXL2,0.050712148302277424,0.001111637191818738,0.006401722416414968,0.020243719416307256,0.08108647125752136
RP11-277L2.3,0.05069467418972404,0.0011160571352780303,0.006408328067080303,0.020226207438172404,0.08106906727007991
KCNJ3,0.05029394351913182,0.0012219844523751583,0.006996039642545498,0.019824613533352582,0.08066993968296317
DAB2,0.0501632687097284,0.0012584848622355432,0.007177190251037716,0.0196936593564824,0.0805397855189838
LFNG,0.05015454586608583,0.001260956816321233,0.007177190251037716,0.019684917901642004,0.08053109739273723
HLA-DPB1,0.050133405078384936,0.0012669664748059203,0.007190493790347803,0.019663732026946865,0.08051004072738081
INSIG1,0.05002104574743882,0.0012993525773710706,0.00735298366038311,0.019551133526234474,0.08039812803597428
LILRA6,0.049768698561154116,0.0013748909216912389,0.007735736852504154,0.019298252007147174,0.0801467811633301
HPSE,0.04972376987799357,0.0013887572020918517,0.007769104576273845,0.01925322859854506,0.0801020301740103
RASSF3,0.04958939764540391,0.001431001253112143,0.007982622374910472,0.019118573799598953,0.07996818865546829
R3HDM4,0.04939429898135265,0.0014944469573699615,0.008289312018499672,0.018923066837433108,0.0797738585996162
C16orf54,0.049182680037912326,0.0015661865352239142,0.008644776743639945,0.018711007657139882,0.07956307073662768
MAP3K1,0.0491725412421084,0.0015697019090463546,0.008644776743639945,0.018700847838133423,0.07955297169020478
HMOX1,0.04915387575777519,0.0015761926953419103,0.008644776743639945,0.018682143666621413,0.07953437936802085
