,TAM_corr,TAM_pval,TAM_qval,TAM_ci_low,TAM_ci_high
NLRC5,-0.014275174451613104,0.46828106386691337,0.9996230553147778,-0.05280625590958963,0.024298349456225603
CYP1B1,-0.01427794898170233,0.4681945941507424,0.9996230553147778,-0.05280902326653769,0.02429557599877243
PLCB1,-0.014535276347989262,0.4602133697713644,0.9996230553147778,-0.0530656827778416,0.024038345534166297
ZAP70,-0.014538902056849032,0.46010146144298025,0.9996230553147778,-0.053069299040343985,0.024034721154148495
COQ7,-0.014639311258197374,0.4570083606860389,0.9996230553147778,-0.05316944623581916,0.023934348350435678
LINC00694,-0.014705110180360935,0.4549877751433382,0.9996230553147778,-0.053235073043151046,0.023868572858130457
FABP7,-0.014747622837043737,0.45368495372700446,0.9996230553147778,-0.05327747431952207,0.023826075161877215
IL1RL2,-0.014774316148766392,0.4528679998474324,0.9996230553147778,-0.05330409762555021,0.023799391172423558
IER5L,-0.014890196600767505,0.4493310961821714,0.9996230553147778,-0.053419673535243614,0.023683550552848195
KIAA0319L,-0.014964078071664425,0.4470842828122067,0.9996230553147778,-0.053493360301351225,0.023609693937028307
RAI1,-0.01506909707459605,0.4439015601575558,0.9996230553147778,-0.053598101818532286,0.02350470953976508
SLC24A4,-0.015088518542529098,0.4433143897198092,0.9996230553147778,-0.05361747187733045,0.023485294378342035
SDC4,-0.015140085571292362,0.4417575143568312,0.9996230553147778,-0.05366890226611637,0.02343374395315477
RP11-350G8.5,-0.015213132607251613,0.43955749242300324,0.9996230553147778,-0.053741755395482343,0.023360720085820318
MKI67,-0.015222755210677605,0.4392681492122025,0.9996230553147778,-0.053751352424706106,0.023351100503751727
SLC35F6,-0.015236451421927462,0.4388565047444083,0.9996230553147778,-0.05376501222296231,0.02333740858059415
DNAJC11,-0.015301362360479118,0.43690859808124727,0.9996230553147778,-0.05382975039201191,0.023272517767943635
IQSEC1,-0.015348633405532192,0.43549318184618546,0.9996230553147778,-0.05387689541477786,0.02322526117493024
LMNA,-0.01536070368691718,0.4351321907740503,0.9996230553147778,-0.05388893348985542,0.023213194556130155
BRSK1,-0.015365930667609036,0.43497591878589137,0.9996230553147778,-0.05389414652027672,0.023207969158016782
AEBP1,-0.015397351755290027,0.43403719928846385,0.9996230553147778,-0.05392548370406828,0.023176557539315988
CTD-2583P5.3,-0.01542629654397802,0.43317349646503767,0.9996230553147778,-0.053954351134185154,0.02314762140596187
FBXO32,-0.015524056417248463,0.4302637292280277,0.9996230553147778,-0.054051849255887685,0.023049890287964017
GIMAP7,-0.01555631134545396,0.4293061728442624,0.9996230553147778,-0.05408401766050861,0.023017644685527628
SMARCD3,-0.015567973395928239,0.4289602648393027,0.9996230553147778,-0.05409564840794238,0.02300598598711128
GABARAP,-0.015620886395397889,0.42739284809214173,0.9996230553147778,-0.05414841924808488,0.02295308806478664
ITGAX,-0.015819574744362543,0.4215370377256562,0.9996230553147778,-0.05434657186739865,0.022754454402253054
CTD-2562J15.6,-0.015865981315415383,0.4201761326057505,0.9996230553147778,-0.054392852873819175,0.02270806016528494
RP5-1142A6.8,-0.015903843250191084,0.41906771789563446,0.9996230553147778,-0.05443061224100115,0.02267020817050203
RAB37,-0.01597365647473732,0.4170284358088887,0.9996230553147778,-0.054500236053337515,0.02260041298423934
CNOT1,-0.016032035897639824,0.41532763880474466,0.9996230553147778,-0.05455845679778062,0.02254204835668329
ANXA2R,-0.01617572039670152,0.41115908791189715,0.9996230553147778,-0.05470174963873226,0.022398399152248668
AL627309.1,-0.01622114517207843,0.40984641302896385,0.9996230553147778,-0.05474705026420707,0.022352985203635985
CCL3L3,-0.016251921354629745,0.4089584664439164,0.9996230553147778,-0.054777742242620844,0.02232221626596587
LA16c-358B7.3,-0.01633043007576352,0.40669854061357624,0.9996230553147778,-0.054856035832886556,0.022243725695243563
KCNMA1,-0.016455172539417265,0.4031230991392787,0.9996230553147778,-0.054980435500864,0.022119011092717942
TMEM127,-0.016522301861704138,0.4012068121992737,0.9996230553147778,-0.05504737985496786,0.022051896266841835
ZNF276,-0.016544355576943635,0.4005784570762557,0.9996230553147778,-0.05506937272780092,0.02202984723817469
PPM1A,-0.016588996949863325,0.399308343557357,0.9996230553147778,-0.05511389082843485,0.021985215237009765
NR4A2,-0.016599141368598122,0.3990200577278198,0.9996230553147778,-0.055124007213105244,0.02197507292649648
ADAM15,-0.016708313038873577,0.39592552762425104,0.9996230553147778,-0.055232876687294145,0.021865923441866594
CTGF,-0.016716727549963485,0.3956876164750992,0.9996230553147778,-0.05524126786830867,0.02185751060258715
PRTN3,-0.016911688089845743,0.39019951449887447,0.9996230553147778,-0.055435686336871834,0.0216625872682139
COMP,-0.01720139434110323,0.38213024187923783,0.9996230553147778,-0.055724581688723636,0.021372930886538726
KLC3,-0.017248531897480688,0.38082704557254976,0.9996230553147778,-0.05577158669505374,0.02132580083178688
ITGA5,-0.017324845004988806,0.37872303257813034,0.9996230553147778,-0.055847684849327756,0.021249499505541003
PRSS57,-0.017669023097757926,0.3693228943136331,0.9996230553147778,-0.056190887925107194,0.020905368963671282
PIK3CD,-0.017861220473331035,0.36413726978280714,0.9996230553147778,-0.056382536866424644,0.020713194164316835
RP11-347P5.1,-0.01793141362903751,0.3622548025566231,0.9996230553147778,-0.0564525290186246,0.02064300854315004
RASGRP4,-0.018017865334036872,0.3599446953152343,0.9996230553147778,-0.056538732642176584,0.020556565595387707
MFGE8,-0.018071251677778344,0.3585227666569667,0.9996230553147778,-0.05659196550184901,0.02050318437144471
PADI4,-0.018099863891656718,0.35776214413746577,0.9996230553147778,-0.05662049536636181,0.02047457481098064
CTD-2035E11.3,-0.01810351233669445,0.3576652274647655,0.9996230553147778,-0.05662413330621703,0.020470926699747864
PBXIP1,-0.018165133045377275,0.35603084081499536,0.9996230553147778,-0.05668557643223542,0.020409311473710185
IL7R,-0.018183326773263574,0.35554918365311905,0.9996230553147778,-0.05670371767243078,0.020391119308565523
MPP7,-0.018215132549236256,0.3547081510154828,0.9996230553147778,-0.056735431629760746,0.020359316203175916
CDC42SE1,-0.018228394548209025,0.35435783819467326,0.9996230553147778,-0.0567486553203098,0.02034605529469027
P2RX5,-0.01838367251763892,0.3502724615140491,0.9996230553147778,-0.056903483750468754,0.02019078908344401
ZBTB43,-0.018404932021987466,0.3497154546541248,0.9996230553147778,-0.05692468156304602,0.020169531044126613
CHKB,-0.018425334011047977,0.3491814435129803,0.9996230553147778,-0.05694502431605414,0.02014913042820802
C5AR2,-0.01845168908296178,0.3484923799486461,0.9996230553147778,-0.056971302820121666,0.020122777082556543
TSPYL2,-0.018536519217616735,0.34628033040049355,0.9996230553147778,-0.057055886140378494,0.020037952140361807
GRASP,-0.01860762655858367,0.34443301973600593,0.9996230553147778,-0.05712678616758014,0.01996684872403437
BMP1,-0.018651505807896016,0.34329621375489616,0.9996230553147778,-0.05717053729289861,0.019922971701871364
HAL,-0.01870249462705713,0.341978228244857,0.9996230553147778,-0.05722137704283014,0.019871985284066508
