Gene_set,Term,Overlap,P-value,Adjusted P-value,Genes
GO_Biological_Process_2021,negative regulation of complement activation (GO:0045916),1/12,0.0149012443701484,0.0777623111031916,VSIG4
GO_Biological_Process_2021,adipose tissue development (GO:0060612),1/12,0.0149012443701484,0.0777623111031916,NAMPT
GO_Biological_Process_2021,regulation of mRNA stability (GO:0043488),2/146,0.014224449586728,0.0777623111031916,HSPA8;FUS
GO_Biological_Process_2021,regulation of pH (GO:0006885),1/11,0.0136676567242548,0.0777623111031916,PDK4
GO_Biological_Process_2021,PERK-mediated unfolded protein response (GO:0036499),1/11,0.0136676567242548,0.0777623111031916,HERPUD1
GO_Biological_Process_2021,positive regulation of nitric-oxide synthase biosynthetic process (GO:0051770),1/11,0.0136676567242548,0.0777623111031916,NAMPT
GO_Biological_Process_2021,negative regulation of receptor signaling pathway via STAT (GO:1904893),1/11,0.0136676567242548,0.0777623111031916,SOCS3
GO_Biological_Process_2021,regulation of ERAD pathway (GO:1904292),1/11,0.0136676567242548,0.0777623111031916,HERPUD1
GO_Biological_Process_2021,positive regulation of macrophage differentiation (GO:0045651),1/11,0.0136676567242548,0.0777623111031916,ID2
GO_Biological_Process_2021,negative regulation of homotypic cell-cell adhesion (GO:0034111),1/11,0.0136676567242548,0.0777623111031916,CD9
GO_Biological_Process_2021,myelin assembly (GO:0032288),1/10,0.0124325865055395,0.0777623111031916,CD9
GO_Biological_Process_2021,negative regulation of tyrosine phosphorylation of STAT protein (GO:0042532),1/10,0.0124325865055395,0.0777623111031916,SOCS3
GO_Biological_Process_2021,regulation of T-helper 17 cell differentiation (GO:2000319),1/10,0.0124325865055395,0.0777623111031916,NFKBID
GO_Biological_Process_2021,ESCRT III complex disassembly (GO:1904903),1/10,0.0124325865055395,0.0777623111031916,CHMP1B
GO_Biological_Process_2021,ESCRT complex disassembly (GO:1904896),1/10,0.0124325865055395,0.0777623111031916,CHMP1B
GO_Biological_Process_2021,cellular response to metal ion (GO:0071248),2/131,0.0115740314163883,0.0777623111031916,MT2A;LGMN
GO_Biological_Process_2021,cellular response to insulin stimulus (GO:0032869),2/129,0.011239079846013,0.0777623111031916,NAMPT;PDK4
GO_Biological_Process_2021,integrated stress response signaling (GO:0140467),1/15,0.0185931285667873,0.0777623111031916,HERPUD1
