,4.0_3_corr,4.0_3_pval,4.0_3_qval,4.0_3_ci_low,4.0_3_ci_high
C2orf42,-0.034944634,0.010034327,0.067841337,-0.061493837,-0.008346017
LPAR2,-0.035067696,0.009774153,0.06656638,-0.061616583,-0.008469221
EHD1,-0.035300876,0.009297603,0.064012295,-0.061849163,-0.008702673
CKB,-0.035771887,0.008397735,0.058583667,-0.062318951,-0.009174242
VNN2,-0.036022852,0.007950785,0.056211194,-0.062569261,-0.009425509
MPZL3,-0.03621722,0.007619394,0.054159475,-0.062763117,-0.009620113
VNN3,-0.036268666,0.007533776,0.05369602,-0.062814428,-0.009671622
CDKN2D,-0.036385356,0.007342769,0.052619842,-0.06293081,-0.009788455
MIR4435-1HG,-0.036460222,0.00722252,0.052008878,-0.063005479,-0.009863413
ATP2A3,-0.036893842,0.006560155,0.0475808,-0.063437948,-0.010297573
PRKCQ-AS1,-0.037036152,0.006354988,0.046298115,-0.063579878,-0.010440063
LTB4R,-0.03715375,0.006189825,0.045346074,-0.06369716,-0.010557809
IFIT1,-0.037267749,0.006033415,0.044447845,-0.063810854,-0.010671954
FPR2,-0.037373612,0.005891364,0.043645882,-0.063916431,-0.010777952
TDRD9,-0.037378673,0.005884649,0.043645882,-0.063921479,-0.01078302
TMEM63B,-0.03739397,0.005864394,0.043645882,-0.063936735,-0.010798337
MKI67,-0.037437109,0.005807614,0.043392115,-0.063979758,-0.010841531
KDM7A,-0.037699988,0.005472187,0.041594947,-0.064241927,-0.01110475
LONP1,-0.037796194,0.005353868,0.040932192,-0.064337872,-0.011201081
TMEM45A,-0.037914895,0.005211069,0.039956595,-0.06445625,-0.011319938
METTL9,-0.037931103,0.005191841,0.039925561,-0.064472413,-0.011336166
PTPN4,-0.037990445,0.005121983,0.039503854,-0.064531594,-0.011395587
PPP1R16B,-0.038082592,0.005015189,0.038858614,-0.06462349,-0.011487855
GADD45A,-0.038236902,0.00484085,0.037778742,-0.064777378,-0.011642369
LEF1,-0.038277091,0.004796354,0.037542887,-0.064817457,-0.011682612
SLC2A3,-0.038989203,0.004066896,0.032709289,-0.065527604,-0.012395685
AC009005.2,-0.039568814,0.003549156,0.029261067,-0.066105596,-0.012976098
MGRN1,-0.039825884,0.003339334,0.027880787,-0.066361943,-0.01323353
NLRC5,-0.040021725,0.003187136,0.026780089,-0.066557229,-0.013429648
ELANE,-0.040041721,0.003171957,0.026737971,-0.066577169,-0.013449673
RIPK3,-0.040087688,0.003137313,0.026530976,-0.066623005,-0.013495705
CD27,-0.040253179,0.003015424,0.025665256,-0.066788026,-0.013661433
GCA,-0.040555398,0.002803914,0.024099002,-0.067089383,-0.013964089
CD3E,-0.040559528,0.00280112,0.024099002,-0.067093502,-0.013968225
