,4.0_3_corr,4.0_3_pval,4.0_3_qval,4.0_3_ci_low,4.0_3_ci_high
OPRL1,-0.031228152,0.075025307,0.169953968,-0.065534873,0.003152306
AC023490.1,-0.031256147,0.074764465,0.169509089,-0.065562774,0.003124285
KLC1,-0.031405996,0.073380781,0.166659288,-0.065712125,0.002974289
EIF4E3,-0.031471195,0.072785319,0.165449774,-0.065777106,0.002909027
PHKA2,-0.031559219,0.071987665,0.163919965,-0.065864836,0.002820916
RNF24,-0.031567842,0.071909912,0.163884809,-0.06587343,0.002812284
PADI4,-0.031718325,0.070564049,0.161376912,-0.066023408,0.002661652
PRKAB1,-0.031720805,0.070542044,0.161376912,-0.06602588,0.002659169
SFI1,-0.031741542,0.070358251,0.161186586,-0.066046548,0.002638411
ARMC5,-0.031804815,0.069799898,0.160186503,-0.066109608,0.002575074
DGCR2,-0.031819913,0.069667205,0.160021615,-0.066124656,0.002559961
NEK4,-0.031850622,0.069397954,0.159542499,-0.066155261,0.002529222
RN7SL1,-0.032054312,0.067633545,0.155758513,-0.066358264,0.002325325
CD7,-0.032112104,0.067139707,0.155028472,-0.06641586,0.002267473
DGKH,-0.032141773,0.06688734,0.154717418,-0.066445429,0.002237774
ZBTB34,-0.03217503,0.066605374,0.154424433,-0.066478574,0.002204482
IL17RA,-0.032192771,0.066455364,0.154397181,-0.066496255,0.002186723
RCN3,-0.032193018,0.066453277,0.154397181,-0.066496501,0.002186476
NLRC5,-0.032305678,0.065507171,0.153005204,-0.066608778,0.0020737
CCDC146,-0.032322808,0.065364287,0.152943128,-0.06662585,0.002056551
C20orf24,-0.032390712,0.064800429,0.152291799,-0.066693524,0.001988576
MIB1,-0.03240992,0.064641664,0.152064021,-0.066712666,0.001969348
ANKRD27,-0.032456856,0.06425505,0.151368014,-0.066759442,0.001922363
RP11-277L2.3,-0.032473221,0.064120701,0.151244343,-0.066775752,0.001905981
AC093323.3,-0.032473677,0.064116962,0.151244343,-0.066776206,0.001905524
COG6,-0.032473867,0.064115407,0.151244343,-0.066776395,0.001905335
DNAJC11,-0.032488712,0.063993741,0.151244343,-0.06679119,0.001890473
C21orf91,-0.032604178,0.063053936,0.149532779,-0.066906261,0.001774885
ZNF639,-0.032659435,0.062608236,0.148744047,-0.06696133,0.00171957
ETS1,-0.03268843,0.062375408,0.148324886,-0.066990225,0.001690544
C11orf82,-0.032701315,0.062272173,0.148213408,-0.067003066,0.001677645
PHF20L1,-0.032800467,0.061482472,0.146466396,-0.067101878,0.001578387
PDK1,-0.032866004,0.060965063,0.145629532,-0.06716719,0.00151278
PPP3CA,-0.032873841,0.060903429,0.145614562,-0.067175001,0.001504934
RP11-379H18.1,-0.032963308,0.060203505,0.144203295,-0.06726416,0.00141537
ZDHHC2,-0.033011429,0.059829809,0.143569705,-0.067312115,0.001367197
SLC27A3,-0.033061319,0.059444404,0.142775145,-0.067361833,0.001317252
SPRYD3,-0.033061715,0.059441353,0.142775145,-0.067362228,0.001316856
TJP2,-0.033114548,0.059035481,0.142187188,-0.067414878,0.001263965
ZNF180,-0.033126788,0.058941779,0.142187188,-0.067427076,0.001251712
ESRRA,-0.033138892,0.058849239,0.142124425,-0.067439138,0.001239594
CDC34,-0.033202777,0.058362813,0.141590332,-0.067502802,0.001175639
ZNF580,-0.033263904,0.057900512,0.140607892,-0.067563718,0.001114444
PER2,-0.033278992,0.057786874,0.140461625,-0.067578754,0.00109934
TIGD2,-0.033364601,0.057145589,0.139160091,-0.067664066,0.001013636
BBS10,-0.033377293,0.057051017,0.139058548,-0.067676714,0.00100093
ANKRD13A,-0.03341054,0.056803909,0.138713352,-0.067709846,0.000967646
ERCC3,-0.033411729,0.056795089,0.138713352,-0.06771103,0.000966455
MIER3,-0.033524762,0.055961726,0.137550786,-0.06782367,0.000853296
INSR,-0.033550874,0.05577066,0.137209389,-0.067849692,0.000827154
SLC25A40,-0.033646921,0.055072542,0.135745816,-0.067945404,0.000730998
MANEA-AS1,-0.033668226,0.054918677,0.135493546,-0.067966635,0.000709669
MYO15B,-0.033717866,0.054561569,0.134738898,-0.068016101,0.000659973
RBM5,-0.033731786,0.054461776,0.134618863,-0.068029973,0.000646037
RP11-640M9.1,-0.033823726,0.053806479,0.133375155,-0.068121591,0.000553993
ACAP3,-0.033859557,0.05355288,0.132871769,-0.068157297,0.000518121
HERC4,-0.033889783,0.053339725,0.132470925,-0.068187417,0.000487859
FAM134A,-0.033940692,0.052982322,0.131898252,-0.068238147,0.000436892
SEC23A,-0.034184537,0.051298038,0.128245095,-0.068481134,0.000192764
TIA1,-0.034214825,0.051091992,0.127851513,-0.068511316,0.00016244
CHKB,-0.034380075,0.049979989,0.125666704,-0.068675982,-3.00E-06
PIGQ,-0.034482119,0.049303498,0.124203257,-0.068777664,-0.000105169
TSPAN2,-0.034625267,0.04836746,0.122431589,-0.068920304,-0.000248488
ENTPD4,-0.034652406,0.048191693,0.122104192,-0.068947346,-0.00027566
STXBP5,-0.03466821,0.048089583,0.121962974,-0.068963094,-0.000291483
