"","Sunitinib_5","Pazopanib_199","Axitinib_1021","Cabozantinib_249","Temsirolimus_1016"
"TCGA-CZ-4866-01",18.8140692540357,48.4110334407953,15.0283994457616,21.0614041445015,0.160193100910917
"TCGA-B0-5095-01",10.3286527819336,18.3504456319628,4.80631372307675,11.4440581964909,0.125286425983853
"TCGA-AK-3460-01",14.7316191615526,22.9420646778274,7.7659451771808,19.4759764076021,0.143417818072494
"TCGA-B2-3924-01",9.5157506697138,25.7733166899654,6.99494098761123,15.0650518711768,0.0807796931073597
"TCGA-B8-A54J-01",17.1519738487047,22.437867944594,6.83823833145519,18.4843224507612,0.0930211904139044
"TCGA-BP-4165-01",20.9640208291876,21.1669461175482,9.04333834197092,14.1828770273275,0.100817278401996
"TCGA-CW-6090-01",9.89565190228509,15.9657938413474,6.58922983684759,12.4644078078158,0.0951534348577827
"TCGA-CJ-5672-01",14.643942750882,29.02191335354,10.3078004833052,14.8136789014223,0.0948878822481948
"TCGA-A3-3328-01",35.4366919665145,51.6302740247626,14.9467144422422,26.0581762477665,0.221227732189019
"TCGA-BP-5180-01",26.50364780867,34.5737308837052,17.7047764577016,18.9150432649195,0.226999922812199
"TCGA-A3-A8OV-01",25.8793929038162,33.4586123441137,11.8381858072113,16.3203184419975,0.212792169885918
"TCGA-B8-4619-01",22.4816978537844,44.6145998612611,6.21856286264268,15.9259055666132,0.117409027787272
"TCGA-B0-4843-01",22.8780431708586,19.5784286167248,5.27381826589357,17.3550132991116,0.0720199143100526
"TCGA-AK-3450-01",30.1654654863115,34.6370834264306,14.5615571750207,27.6758686902428,0.118444951083516
"TCGA-CW-5585-01",20.9784661748376,30.1391255887303,11.0313641893828,19.4920557037371,0.208889699789413
"TCGA-B8-5552-01",8.93133457446466,19.4130725230903,6.00248176077938,12.4225765559171,0.11092051686354
"TCGA-BP-5000-01",22.1869612631203,27.4251726275579,12.3661007060785,17.9339317398094,0.149801027711279
"TCGA-B0-4713-01",23.814813803524,34.5602637146746,15.7633254128401,24.3970148884179,0.166528289733513
"TCGA-CZ-5454-01",12.0978287167144,22.4185618226261,11.199761891819,16.3927627367409,0.159595780178561
"TCGA-AK-3465-01",33.9111349981758,62.0504259928537,14.3439477405391,26.9355520529759,0.261293411819438
"TCGA-BP-4758-01",17.5824177206502,25.8224554864821,8.77553617804445,15.022161417735,0.0934883669671902
