TF,fdr,nes,es,tag %,gene %,lead_genes
SNAI1 human tf ARCHS4 coexpression,0,2.351140577,0.70860575,44/75,17.60%,CXCL3;CXCL2;OLR1;VSIG4;BCL2A1;IER3;IL1B;PLAUR;CD83;IL1RN;SOD2;THBD;CREM;HBEGF;PPIF;MMP19;DUSP2;NFKB1;ADM;INSIG1;GPR34;CEBPB;SGK1;RGS1;ATF3;GADD45B;ICAM1;BHLHE40;TNF;SRC;MESDC1;PTGS2;METRNL;PNP;PIM3;TNFAIP6;CDC42EP2;SERTAD1;OTUD1;SAMSN1;SIGLEC1;IL10;NR4A3;FOLR2
MSC human tf ARCHS4 coexpression,0,2.345990385,0.6654245,61/100,14.32%,CXCL3;CLEC5A;TREM2;CTSL;CXCL2;CTSB;OLR1;VSIG4;BCL2A1;TYMP;IER3;GPNMB;CD14;CCL3;IL1B;CSTB;VMO1;FCGR2B;PLAUR;CCL2;HLA-DRB1;CD83;RNASE1;IL1RN;SOD2;CTSD;THBD;C1QC;LGMN;C1QA;PPIF;MMP19;CCL7;DUSP2;NFKB1;MS4A4A;CCR1;PLEKHM2;C5AR1;INSIG1;STX4;CD163;STAB1;CEBPB;LILRB5;ATF3;GADD45B;ICAM1;TNF;SRC;MESDC1;PTGS2;METRNL;TOM1;PIM3;SEMA6B;TNFAIP6;OSCAR;DOT1L;CHST7;BATF
TFEC human tf ARCHS4 coexpression,0,2.242661759,0.661120499,36/84,8.17%,CLEC5A;TREM2;CTSL;CTSB;VSIG4;BCL2A1;TYMP;GPNMB;CD14;IL1B;FCGR2B;LIPA;PLAUR;HLA-DRB1;AQP9;CD83;IL1RN;SOD2;HLA-DPA1;CTSD;MS4A7;C1QC;MSR1;LGMN;C1QA;MMP19;NFKB1;MS4A4A;CCR1;GK;C5AR1;DMXL2;ITGAM;CD163;STAB1;CEBPB
CREBL2 human tf ARCHS4 coexpression,0,2.15859261,0.682531445,22/51,7.51%,TREM2;CTSL;CTSB;VSIG4;GPNMB;CD14;SLCO2B1;FCGR2B;LIPA;CTSD;MS4A7;C1QC;MSR1;LGMN;C1QA;C1QB;MS4A4A;CCR1;CD81;PLEKHM2;ITGAM;CD163
MTF1 human tf ARCHS4 coexpression,0,2.138485515,0.623857705,45/102,13.92%,CXCL3;CLEC5A;CTSL;CXCL2;OLR1;BCL2A1;TYMP;CXCL5;CXCL1;IER3;CD14;IL1B;TREM1;FCGR2B;PLAUR;CCL2;AQP9;CD83;IL1RN;SOD2;MS4A7;NFKBIA;PPIF;MMP19;CCL7;NFKB1;CCR1;IL6;FPR2;TNFAIP3;C5AR1;DMXL2;ITGAM;CD163;CEBPB;ICAM1;TNF;SRC;PTGS2;METRNL;TOM1;PIM3;TRIM25;TNFAIP6;OSCAR
ATF5 human tf ARCHS4 coexpression,0,2.104188085,0.652065969,38/70,13.36%,CLEC5A;TREM2;CTSL;CTSB;VSIG4;TYMP;IER3;CD14;SLCO2B1;FCGR2B;PLAUR;SDS;HLA-DRB1;RNASE1;IL1RN;CTSD;APOC1;C1QC;LGMN;C1QA;PPIF;MMP19;DUSP2;NFKB1;PLEKHM2;INSIG1;CD163;STAB1;CEBPB;LILRB5;GADD45B;ICAM1;SRC;METRNL;TOM1;PIM3;SEMA6B;TRIM25
ZNF267 human tf ARCHS4 coexpression,0,2.093784178,0.621370504,34/80,13.57%,CXCL3;OLR1;IER3;IL1B;TREM1;FCGR2B;PLAUR;HLA-DRB1;AQP9;CD83;IL1RN;SOD2;MS4A7;PPIF;DUSP2;NFKB1;CCR1;FPR2;TNFAIP3;GK;C5AR1;INSIG1;DENND5A;DMXL2;CEBPB;GADD45B;ICAM1;TNF;PTGS2;METRNL;PNP;PIM3;TRIM25;TNFAIP6
ETS2 human tf ARCHS4 coexpression,0,2.060384681,0.602832367,45/86,15.03%,CXCL3;CXCL2;OLR1;TYMP;IER3;FCGBP;IL1B;TREM1;SLCO2B1;PLAUR;HLA-DRB1;RGCC;IL1RN;THBD;MS4A7;C1QC;HBEGF;C1QA;PPIF;MMP19;C1QB;NFKB1;A2M;GK;PLEKHM2;CEBPB;MAPK13;SGK1;ANPEP;ATF3;SEPP1;MAFK;ICAM1;BHLHE40;GAK;SRC;PTGS2;METRNL;TOM1;PIM3;TRIM25;FURIN;MINK1;PARP12;SERPING1
AHR human tf ARCHS4 coexpression,0,2.051602254,0.639225355,35/69,15.28%,CXCL2;OLR1;IER3;GPNMB;TREM1;PLAUR;HLA-DRB1;RGCC;CD83;HLA-DPA1;THBD;MS4A7;HBEGF;NFKBIA;PPIF;FAM129B;NFKB1;CCR1;TNFAIP3;DENND5A;DMXL2;EMP1;CEBPB;SGK1;HLA-DPB1;ICAM1;BHLHE40;PTGS2;METRNL;PNP;PIM3;FURIN;OTUD1;SAMSN1;AGFG1
ZFYVE26 human tf ARCHS4 coexpression,0,2.045510123,0.579721803,46/81,20.12%,TREM2;CTSB;TYMP;GPNMB;SLCO2B1;FCGR2B;LIPA;IL1RN;SOD2;CTSD;MS4A7;C1QC;MSR1;C1QA;MMP19;NFKB1;MS4A4A;CCR1;PLEKHM2;DENND5A;DMXL2;ITGAM;CD163;CEBPB;LILRB5;ICAM1;GAK;SRC;METRNL;TOM1;TRIM25;OSCAR;DOT1L;ZSWIM8;PARP12;OASL;SIGLEC1;IL10;IFIT1;MX1;OAS2;SPHK1;KDM2A;HLA-DQA1;PTPRJ;DUSP5
