TF,fdr,nes,es,tag %,gene %,lead_genes
ZBTB38 human tf ARCHS4 coexpression,0.766616108,1.204569578,0.479848402,29-Jun,8.84%,FN1;CTHRC1;STAT1;THBS2;SAMD4A;KCNMA1
ZNF771 human tf ARCHS4 coexpression,0.768536707,1.202820966,0.521738089,15-Sep,25.94%,NUPR1;PET100;SMIM4;SELM;RPP21;IGFBP6;EMX2;BOLA2B;TRAPPC5
RGS9 human tf ARCHS4 coexpression,0.767495082,1.201806809,0.52088695,15-Jun,23.80%,CBWD5;RIN2;FBXO48;ZNF713;EIF4E;RP11-111M22.2
FOS human tf ARCHS4 coexpression,0.776232384,1.198535363,0.443757372,18/43,15.47%,ATF3;IER2;NR4A1;RGS1;RASGEF1B;JUNB;BTG2;DNAJB1;PPP1R15A;JUN;GRASP;NR4A2;GPR183;LTB4R;JUND;TNFAIP3;MDM4;NFKBIZ
FOXJ1 human tf ARCHS4 coexpression,0.776744344,1.197344301,0.523329839,18-Nov,33.35%,CCDC151;RRAD;DNAAF1;ELF3;TMC4;CLMN;DUOX1;TNFAIP8L1;DNAH1;CES1;CAPS
NR3C1 human tf ARCHS4 coexpression,0.785095226,1.194164883,0.464153518,May-37,4.85%,CD83;OAS3;OAS2;STAT1;DUSP2
ONECUT3 human tf ARCHS4 coexpression,0.781559292,1.193701151,0.501752855,18-Aug,27.73%,IRF1;IRF2BPL;CBWD3;GPM6A;PAQR7;NXPE3;RP11-111M22.2;RNF24
LHX1 human tf ARCHS4 coexpression,0.783901501,1.192268158,0.517462811,15-Jul,31.92%,SNAI1;CDKN2D;CRIP2;NRP2;EMX2;CDKN1C;LMO2
TBX10 human tf ARCHS4 coexpression,0.779838753,1.192035432,0.48266901,21-Jul,20.02%,ADAMDEC1;LGALS2;SEPP1;GPR160;RASD1;CA2;ELF3
HAND2 human tf ARCHS4 coexpression,0.788503252,1.188810212,0.4996688,23-May,10.47%,DUSP4;COL3A1;FABP3;GEM;RGS5
ZNF2 human tf ARCHS4 coexpression,0.788662878,1.187948719,0.512426356,15-Aug,31.36%,CBWD3;FBXO48;ZNF726;ZNF713;EIF4E;RP11-111M22.2;C5AR2;BLOC1S3
RBM26 human tf ARCHS4 coexpression,0.828157247,1.178052805,0.513753019,18-Aug,22.17%,LPAR6;IRF2BPL;HNRNPH1;MDM4;ZNF726;STK17A;GPR85;NR2C2
STAT5A human tf ARCHS4 coexpression,0.83089787,1.176374187,0.412805616,25/77,28.75%,SPI1;TYMP;SIGLEC1;MX2;FCGR2B;SOCS3;IL1RN;IRF1;BCL3;TNF;PIM3;R3HDM4;RNF19B;SBNO2;ICAM1;CSF2RB;EHD1;BATF;PLEKHO2;JAK3;HDAC10;DOK3;XAB2;NBEAL2;RELB
ZBTB20 human tf ARCHS4 coexpression,0.830466987,1.175449476,0.543310841,16-Jul,23.70%,GPM6A;NMNAT1;MDM4;CNKSR3;ZNF726;NEDD4;AAK1
POLR2L human tf ARCHS4 coexpression,0.832008355,1.173922074,0.508208876,17-Oct,25.74%,MT2A;PET100;PHLDA2;SMIM4;SELM;RPP21;IGFBP6;RAB13;HSPE1;BOLA2B
ISX human tf ARCHS4 coexpression,0.827663759,1.173831717,0.47729757,21-Jul,20.02%,ADAMDEC1;LGALS2;SEPP1;GPR160;BCL2L15;ACOX1;ELF3
ZNF517 human tf ARCHS4 coexpression,0.823325971,1.173759698,0.529198132,18-Oct,31.15%,RIN2;COL27A1;PACS2;MDM4;FBXO48;CNKSR3;METTL22;RP11-111M22.2;PLIN5;C5AR2
ZNF615 human tf ARCHS4 coexpression,0.833375008,1.170214515,0.518857384,16-Apr,16.91%,DUSP6;RGS1;OTUD1;ZNF713
KLF6 human tf ARCHS4 coexpression,0.832691448,1.169276541,0.417072315,21/76,12.72%,CD83;ATF3;IER2;NR4A1;NR4A3;RGS1;JUNB;GADD45B;BTG2;CDC42SE1;TLE3;IRF1;PPP1R15A;JUN;GRASP;NR4A2;GPR183;LTB4R;JUND;OTUD1;TNFAIP3
FOSL1 human tf ARCHS4 coexpression,0.828231704,1.16926806,0.439867403,Nov-52,14.96%,PLAU;DUSP4;LIF;IER3;CDC42EP2;SLC20A1;ERRFI1;PPIF;PHLDA2;CALR;LMNA
ELF4 human tf ARCHS4 coexpression,0.830519982,1.167505168,0.420921799,22/76,24.72%,SPI1;TYMP;FCGR3A;CCR1;ITGAX;C5AR1;CDC42SE1;NCF1;BCL3;PIM3;R3HDM4;RNF19B;SBNO2;CSF2RB;ITGAL;AQP9;KDM2A;EHD1;CD300LB;BATF;PLEKHO2;TFE3
TBX18 human tf ARCHS4 coexpression,0.825997808,1.167492202,0.428570603,15/53,22.88%,FN1;COL3A1;COL1A1;THBS2;COL6A1;ADAMTS2;COL1A2;RGS5;ECE1;KLHL15;COL6A2;CALD1;DCN;BGN;SERPINH1
IRF8 human tf ARCHS4 coexpression,0.831504253,1.165011464,0.441998459,Oct-42,13.38%,CD83;MX1;OAS2;FCGR2B;DUSP2;OAS1;GPR183;TNF;PIM3;HLA-DPB1
NKX6-1 human tf ARCHS4 coexpression,0.834022169,1.163272293,0.483354905,24-Jul,12.61%,HAMP;HSPA1A;RIN2;DNAJB1;JUN;GEM;HES1
MBD2 human tf ARCHS4 coexpression,0.855527278,1.157090418,0.430196459,27/61,33.96%,TYMP;OAS2;STAT1;FCGR2B;CDC42SE1;OAS1;BCL3;HLA-DPB1;RASSF3;RNF19B;SBNO2;KDM2A;EHD1;ANKRD13A;PLEKHO2;PPP1R12C;CHST15;NBEAL2;HLA-DPA1;RELB;NADK;FURIN;GIMAP8;ZBTB7B;PPP6R1;PTPRJ;PARP12
ATOH8 human tf ARCHS4 coexpression,0.858532782,1.155495543,0.429375426,18/55,31.00%,FN1;CRYAB;COL6A1;SAMD4A;SERPING1;ADAMTS2;COL1A2;LPL;COL6A2;C1S;PNPLA2;BGN;SERPINH1;TPM2;MXD4;SPARC;CAV2;SMTN
KIAA1683 human tf ARCHS4 coexpression,0.866469058,1.15238132,0.461038014,26-Oct,16.91%,ZNF331;NR4A1;SNX29P2;IRF2BPL;JUND;MDM4;MECP2;CNKSR3;ZNF726;ZNF713
NEUROD2 human tf ARCHS4 coexpression,0.867791963,1.150999409,0.463416767,24-Nov,27.73%,IRF2BPL;CBWD3;ABL2;GPM6A;KCNJ3;LRRC69;RNF122;PAQR7;GPR85;EMX2;RNF24
ZNF331 human tf ARCHS4 coexpression,0.863873671,1.150781776,0.464850449,13/31,15.07%,OLR1;NR4A1;NR4A3;RGS1;RASGEF1B;RIN2;JUNB;BTG2;GRASP;JUND;TNFAIP3;MDM4;FBXO48
ARNTL2 human tf ARCHS4 coexpression,0.87425637,1.147169481,0.449433117,Jul-37,9.35%,PLAU;DUSP4;INHBA;LAMB3;SLC20A1;ERRFI1;EREG
HOXC8 human tf ARCHS4 coexpression,0.872618011,1.146407485,0.430149747,Oct-44,18.34%,FN1;CTHRC1;COL1A1;NR4A1;COL6A1;ADAMTS2;COL1A2;DAB2;COL6A2;CALD1
GLIS2 human tf ARCHS4 coexpression,0.893995647,1.140437429,0.413181723,16/57,31.00%,FN1;COL1A1;THBS2;COL6A1;ADAMTS2;COL1A2;COL6A2;FAM65A;DCN;BGN;SERPINH1;TFE3;FSCN1;SREBF1;TNRC18;SMTN
MIER1 human tf ARCHS4 coexpression,0.890255468,1.140233199,0.514402469,15-May,14.15%,CBWD5;RIN2;ARF6;HNRNPH1;MDM4
