TF,fdr,nes,es,tag %,gene %,lead_genes
SNAI3 human tf ARCHS4 coexpression,0.554448722,1.241221071,0.444298571,35/89,23.63%,CD14;FCGR3A;C5AR1;TREM2;STAB1;CEBPB;SLC15A3;CSF3R;AQP9;IFI30;ITGAM;KLF2;PLEKHO2;ARAP1;TOM1;ITGAX;DPEP2;DOK3;FPR2;PNPLA6;TYMP;SIRPB1;PRKCD;NFAM1;HK3;RASAL3;NADK;ATG16L2;SIGLEC14;DENND4B;MAP3K3;YPEL3;LILRA6;UNC13D;ZNF865
FOXN2 human tf ARCHS4 coexpression,0.552356814,1.240201141,0.539904198,20-Sep,28.31%,RASGEF1B;RND3;CREB5;EAF1;CLEC12A;ARF6;RP2;TLR8;NLRC4
RBM22 human tf ARCHS4 coexpression,0.57172867,1.231310168,0.497123228,22/42,26.05%,SOCS3;NFKB1;CD83;PPP1R15A;PPIF;PIM3;EHD1;DPEP2;SPI1;SIRPB1;PRKCD;IKBKE;RASAL3;BCL3;MESDC1;ATG16L2;MFSD12;LYL1;UNC13D;PNP;PTGER2;GMEB2
ZBED3 human tf ARCHS4 coexpression,0.570459841,1.229659872,0.510341709,27-Jul,20.00%,APOE;CEBPA;NISCH;RUNX1;SREBF1;KLHL15;LMO2
NEUROD1 human tf ARCHS4 coexpression,0.566473983,1.229292395,0.501716807,27-Jun,13.35%,TMEM176B;RASGEF1B;EGR1;SLC7A8;RIN2;GCH1
STAT5A human tf ARCHS4 coexpression,0.598841596,1.21643613,0.425640609,23/77,20.76%,SAMSN1;SOCS3;NFKB1;IL1RN;SLC15A3;ICAM1;FCGR2B;SIGLEC1;TNF;PLEKHO2;HLA-DRB1;PIM3;ARAP1;EHD1;IRF1;SPI1;DOK3;TYMP;PRKCD;RASAL3;BCL3;LMO2;DENND4B
GLI1 human tf ARCHS4 coexpression,0.598914575,1.214853867,0.431513967,15/61,19.70%,FCGR3A;PLTP;ALOX5AP;TREM1;CSF3R;AQP9;KLF2;ARAP1;GIMAP6;FPR2;TFE3;NFAM1;CR1;NADK;ATG16L2
CREB5 human tf ARCHS4 coexpression,0.60943207,1.210060045,0.402354872,34/101,22.57%,FCGR3A;C5AR1;RGS2;TREM1;CSF3R;AQP9;PELI1;ENTPD1;ARAP1;ITGAX;S100A12;DENND5A;DPEP2;SPI1;KCNE3;DOK3;HCAR2;FPR2;APOBEC3A;CDA;RASSF3;SIRPB1;NFAM1;HK3;CR1;SOS2;NADK;ATG16L2;SIGLEC14;CLEC12A;CLEC4D;MAP3K3;YPEL3;LILRA6
PTF1A human tf ARCHS4 coexpression,0.604178346,1.210052152,0.532621016,15-May,19.19%,MTRNR2L1;AAK1;ARHGEF40;SPATA13;CLMN
RC3H2 human tf ARCHS4 coexpression,0.62484989,1.200597225,0.521075205,18-Feb,4.13%,PLTP;ALOX5AP
