TF,fdr,nes,es,tag %,gene %,lead_genes
GLI1 INHIBITION HUMAN GSE36855 CREEDSID GENE 643 DOWN,0.0,1.9695801054623614,0.6840753841007301,19/48,13.19%,ATF3;SGK1;PPP1R15A;RGS2;FOSB;FOS;CHMP1B;JMJD1C;HBEGF;LPAR6;AREG;EGR1;PDK4;THAP2;BCL6;CREB5;TXNIP;RIT1;GZF1
AHR KO MOUSE GSE10082 CREEDSID GENE 1465 UP,0.0,1.9694184689711995,0.761608564465216,21/49,10.49%,NAMPT;ZFP36L1;SGK1;MAFB;SDS;CTSL;RASGEF1B;HMOX1;CLEC7A;CD36;TMEM176B;BTG2;DDIT4;TMEM176A;PDE4B;SAT1;PDK4;IRS2;MPEG1;JUN;DUSP6
MYC OE MOUSE GSE55272 CREEDSID GENE 1826 UP,0.0,1.9693122787954098,0.6735241506184012,35/66,10.57%,IER3;OLR1;CXCL2;C5AR1;PLAUR;MS4A7;IL1B;CCL3;ATF3;TREM2;RGS1;SLC11A1;GADD45B;CDKN1A;TIMP1;CCL2;CTSS;HMOX1;NR4A3;TNFAIP2;ICAM1;PLA2G7;INSIG1;IL1RN;HPSE;ITGAX;MPEG1;SLC15A3;OSM;LILRA6;SORL1;NFIL3;IL1R2;IL1R1;BCL3
IRF9 KD HUMAN GSE50588 CREEDSID GENE 2809 UP,0.0,1.9623789505912046,0.6577247162650642,28/78,9.70%,IER3;ZFP36;CD83;IL1B;TNFAIP3;LGMN;RGS2;DUSP2;CDKN1A;CTSS;FOS;SOCS3;PFKFB3;NPL;SERPINB9;ID2;BTG2;DDIT4;ICAM1;A2M;EGR1;IVNS1ABP;PDE4B;ADM;CXCR4;BIRC3;PNPLA8;MAPK6
TET1 KD MOUSE GSE26830 CREEDSID GENE 1353 UP,0.0,1.9622125906977284,0.6995978491143456,26/63,11.22%,PLAUR;ZFP36;DUSP1;ATF3;PLIN2;JUNB;DAB2;THBS1;PHLDA1;CDKN1A;KLF6;CEBPD;CCL20;CXCL16;HBEGF;LPAR6;PTGS2;PLA2G7;RBP7;SAT1;RAB20;RHOB;RAP2B;JUN;DUSP6;OTUD1
TP53 SIRNA MDAMB231 HUMAN GSE68248 RNASEQ DOWN,0.0,-2.161555300231105,-0.7334307690210871,19/33,5.36%,GAPDH;VIM;STMN1;MT-ND4;HSP90AB1;LGALS1;MT-ATP6;HSP90AA1;MTRNR2L12;CALR;GOLM1;H2AFZ;TOP2A;CENPF;MKI67;MT-ND2;MT-ND1;MT-ATP8;TUBA1B
MEIS2 KD KASUMI1 HUMAN GSE81328 RNASEQ UP,0.0,-2.172825652647835,-0.7195848140061998,23/38,8.82%,STMN1;MYB;NUCB2;HSPD1;MT-ND4;HSP90AB1;MT-ATP6;HSP90AA1;GOLM1;H2AFZ;TOP2A;CENPF;MT-ND4L;MKI67;MT-ND2;MT-ND1;HSPE1;MT-ATP8;SESN3;TUBA1B;MT-ND3;HNRNPH1;HMGB2
ZNF503 SHRNA H1 HUMAN GSE69618 DAY2 RNASEQ UP,0.0,-2.1741367847161865,-0.6805821148385457,23/45,6.84%,GAPDH;HSPD1;MT-ND4;HSP90AB1;HIST1H2AC;MTRNR2L1;MT-ATP6;HSP90AA1;HIST1H4C;H2AFZ;TOP2A;MTRNR2L8;CENPF;MT-ND2;MT-ND1;HIST1H1E;HSPE1;CD9;SESN3;MTRNR2L10;TUBA1B;RMRP;PPP2R1B
MEF2D KD MOUSE GSE47150 CREEDSID GENE 366 UP,0.0,-2.175135941065791,-0.7982685877619591,11/26,5.36%,CKB;GAPDH;STMN1;HSPD1;HSP90AB1;HSP90AA1;CALR;BEX2;CST3;RTN3;TUBA1B
NFKB1 INACTIVATION HUMAN GSE20667 CREEDSID GENE 2575 DOWN,0.0,-2.1765865861724856,-0.7859276799963222,12/27,11.48%,GAPDH;RPL36;DUT;MYB;NUCB2;HSP90AA1;HSPE1;SRSF9;FABP5;TSPYL4;STUB1;LMO2
