Term,tag %,gene %,fdr,es,nes,lead_genes
HOXB4 human tf ARCHS4 coexpression,15/39,28.42%,1,-0.221152091,-0.732647065,NUP214;ANKRD35;PHRF1;GIGYF1;CBX6;CLK2;PIM1;UBAP2L;RGS3;CREBRF;KMT2B;RBM26;LY6G5C;TBX19;STK38
SMAD6 human tf ARCHS4 coexpression,18/42,32.50%,0.998380876,-0.215557233,-0.735187841,CENPB;AKT1S1;CALR;UPF1;WWC2;ANKRD52;ADAM15;SDCCAG3;NPLOC4;SEC16A;SMG5;IER5L;ATP11A;LAMP1;PLCB3;FSTL3;RPTOR;AGER
IKZF4 human tf ARCHS4 coexpression,25-Jun,21.99%,0.998400828,-0.243698001,-0.736320086,FCGR1B;CCNG2;ZNF441;FCGR1A;CREBRF;CPEB4
ZFP28 human tf ARCHS4 coexpression,23-Jul,23.21%,0.997552935,-0.234824068,-0.738402831,QPCT;RRAGD;METTL22;KDM3B;CPEB4;ZNF182;MED23
TBX19 human tf ARCHS4 coexpression,26-Sep,23.59%,0.998093208,-0.245722356,-0.739362502,ANKRD35;RGL2;KDM3B;CLK2;TPCN1;MIER2;TRAPPC12;ZNF182;UAP1L1
SP5 human tf ARCHS4 coexpression,Jun-32,15.53%,0.999070534,-0.23885229,-0.739774708,HSPD1;ASGR1;TTLL4;COL9A3;SLC26A6;F5
ZNF761 human tf ARCHS4 coexpression,19-Jun,23.21%,0.993990189,-0.289146111,-0.745252241,GCHFR;SLC2A3;SEMA4B;SLC30A7;ZNF552;MED23
ZNF362 human tf ARCHS4 coexpression,27/65,31.09%,0.99546632,-0.207794349,-0.745448618,UBB;HSPA1A;ACAP3;JUN;NISCH;GSK3A;CPNE2;SRSF9;GIGYF1;PTOV1;INPP5A;FLYWCH1;PHF21A;BTBD2;FAM65A;CRTC1;SLC38A10;LRP3;TMEM259;CIC;NOTCH1;FZD2;DVL3;ZDHHC8;NCK2;ZNF444;SP2
PRDM10 human tf ARCHS4 coexpression,22-Oct,25.11%,0.994935031,-0.257303064,-0.747242765,ZP3;TTLL4;ZNF407;RNF38;ZC3H7A;TCL1A;UNKL;TAF4;VPS54;MS4A14
ZFPM2 human tf ARCHS4 coexpression,17-Jul,21.99%,0.995103036,-0.269950936,-0.748260211,CCSAP;SCD5;LIN7A;ZNF407;PPP3CA;TMOD2;CPEB4
HOXB2 human tf ARCHS4 coexpression,Jul-41,14.73%,0.994723051,-0.213467464,-0.749941088,TSPO;NFE2;CST7;AKT1S1;SRSF9;BCL7C;HDAC7
UBP1 human tf ARCHS4 coexpression,19/58,26.94%,0.987551154,-0.219085579,-0.756210506,FAM168B;KLF13;ARHGEF11;DUS1L;ATXN7L3;CALR;KDM3B;UPF1;HTT;ANKRD52;REXO1;UBAP2L;SEC16A;SMG5;UBFD1;REPIN1;GATAD2A;ZNF592;CIC
