Term,tag %,gene %,fdr,es,nes,lead_genes
NKX2-4 human tf ARCHS4 coexpression,14/23,24.12%,0.118360759,-0.570157084,-1.510983364,CEBPE;LONP1;CDK16;DUS1L;STK11;CEBPA;UBE2M;TTLL12;NUP153;LRRC45;LRP3;FOXK2;ZNF282;DHX37
NEUROG3 human tf ARCHS4 coexpression,26-Dec,18.99%,0.118559066,-0.523342162,-1.511332268,PLTP;GOLPH3L;ZNF770;MTRNR2L12;CEBPA;HSDL1;CPT2;TIA1;GPAM;ACOX1;ZNF551;MARC1
NPAS3 human tf ARCHS4 coexpression,22-Jul,9.51%,0.119031518,-0.56697955,-1.511435703,STMN1;SCD5;KBTBD11;HSP90AA1;CLASP2;BASP1;VIM
ZNF263 human tf ARCHS4 coexpression,22/47,21.42%,0.118960991,-0.473439561,-1.51244633,ASXL1;GTPBP6;TMEM259;UBA1;ARHGAP19;CLK2;FZR1;PANK3;BRD9;NUP153;CD69;UPF1;ZNF787;MOGS;ARFGAP1;CTDP1;FBRSL1;SMARCD2;KDM3B;HIPK1;FAM168B;MBD1
DVL1 human tf ARCHS4 coexpression,33/61,29.98%,0.117900456,-0.478097402,-1.514232232,LONP1;DNAJC5;CDK16;DUS1L;STK11;TMEM259;UBE2M;SLC4A2;FZR1;INTS1;RPTOR;UPF1;ZNF787;MOGS;ARFGAP1;POLRMT;FBRSL1;LRP3;CAPN3;CLTB;REPIN1;ZNF282;REXO1;SLC27A4;SDF4;MGAT4B;MINK1;GYS1;CENPB;PKD1;TAOK2;ADAM15;AKT1S1
MSX2 human tf ARCHS4 coexpression,28-Oct,18.46%,0.118376326,-0.529423643,-1.514262702,HSPB1;UBFD1;SRSF9;DNAJC5;CDK16;CPOX;ID1;TRIM37;SMARCD2;ZNRF2
EP400 human tf ARCHS4 coexpression,28/66,29.26%,0.11880104,-0.420785825,-1.514645824,MKI67;ASXL1;DVL3;UBE2M;FZR1;INTS1;RPTOR;MEN1;TNRC18;UPF1;ARFGAP1;TTC38;FBRSL1;SIPA1L3;SEC16A;NOTCH1;KDM3B;INTS3;FAM168B;FOXK2;USP38;REXO1;KMT2D;SYNGAP1;MINK1;GATAD2A;UBAP2L;TAOK2
HOPX human tf ARCHS4 coexpression,24-Apr,2.28%,0.11928533,-0.546516089,-1.514726764,SPINK2;CST7;PTPRCAP;NKG7
EWSR1 human tf ARCHS4 coexpression,15/39,17.39%,0.119102413,-0.501018832,-1.515548781,MKI67;SRSF9;TATDN2;ASXL1;DUS1L;TMEM259;UBA1;INTS1;TTLL12;NUP153;UPF1;TACC3;ARFGAP1;PPP6R2;SEC16A
PATZ1 human tf ARCHS4 coexpression,15/21,36.76%,0.119536302,-0.52576402,-1.515659651,UBA1;SLC25A29;PTOV1;VARS2;FBRSL1;NOTCH1;NCOA5;H1FX;REPIN1;SYNGAP1;GATAD2A;DRAXIN;GIGYF1;ZBED4;LSM14B
