Term,tag %,gene %,fdr,es,nes,lead_genes
TRIM32 human tf ARCHS4 coexpression,8/20,18.78%,0.07992896497012307,-0.5852115190544914,-1.6134967445461896,MYB;MTRNR2L8;TMEM159;BBS2;PARP6;KLHL9;KIAA0368;SLC27A3
E2F1 human tf ARCHS4 coexpression,22/31,31.03%,0.07804013639420831,-0.6162614213831181,-1.6177449221331994,SLC4A2;MKI67;TUBA1B;PRELID1;TTLL12;SDCCAG3;LONP1;UBE2M;LRRC45;UBA1;INTS1;DHX37;SMARCD2;INPPL1;PAQR4;CENPB;CDK16;TACC3;ANKRD52;GATAD2A;NCLN;DUS1L
ETV1 human tf ARCHS4 coexpression,3/23,1.83%,0.07808804049578957,-0.6063999538042865,-1.6194375772549474,CKB;SCD5;FXYD6
HSF1 human tf ARCHS4 coexpression,29/68,25.55%,0.07389013926480877,-0.491114466069861,-1.6277355228218953,SLC4A2;REPIN1;EML3;PRELID1;TTLL12;AKT1S1;MGAT4B;SDF4;PTGES2;STUB1;UBE2M;CTDNEP1;LRRC45;BTBD2;INTS1;WDTC1;TNRC18;CLCN7;MAP2K2;POLRMT;SMARCD2;ESRRA;MOGS;INPPL1;CENPB;RPTOR;MEN1;SEC16A;CDK16
ZNF627 human tf ARCHS4 coexpression,5/21,4.14%,0.07419121810265722,-0.60489299919251,-1.6285145731668205,STMN1;FXYD6;BEX2;SOX4;RTN3
TUT1 human tf ARCHS4 coexpression,23/52,24.71%,0.07478474784747847,-0.527703238921983,-1.6288114947465917,SLC4A2;REPIN1;ZNF692;PTOV1;TTLL12;AKT1S1;RECQL5;PTGES2;MMS19;MFSD3;LONP1;TOP3B;INTS1;CLCN7;POLRMT;SMARCD2;RGL2;MOGS;E4F1;INPPL1;GIGYF1;PYGO2;MEN1
HIST1H1B human tf ARCHS4 coexpression,9/23,16.31%,0.0739380842939943,-0.6037130030371494,-1.6314832975522182,HIST1H2AC;MTRNR2L1;MKI67;HIST1H1E;KIF23;HMGB2;LBR;ARHGAP19;RNF169
FOXL1 human tf ARCHS4 coexpression,9/39,7.45%,0.07059301362244391,-0.5661915720759775,-1.6395175601698742,SPARC;MMP14;EXT1;LGALS1;SLC4A2;CALR;NDST1;MGAT4B;SDF4
COPS2 human tf ARCHS4 coexpression,7/17,11.10%,0.06999281846538516,-0.6128648338345382,-1.6408750111725392,HSPD1;HSP90AB1;DLD;H2AFZ;KIF23;PRRC1;PGM3
HOXD10 human tf ARCHS4 coexpression,7/26,14.45%,0.06819413394388235,-0.6037062529534072,-1.6433840949950504,CKB;MKI67;CEBPE;UBFD1;SDCCAG3;UBA1;LRP3
ELK1 human tf ARCHS4 coexpression,20/61,15.89%,0.06876241839341471,-0.4824494835418128,-1.643662003424393,SLC4A2;CALR;REPIN1;TTLL12;AKT1S1;MGAT4B;SDF4;PTGES2;STUB1;LONP1;UBE2M;CTDNEP1;BTBD2;UBA1;INTS1;ATXN7L3;CLCN7;DHX37;POLRMT;SMARCD2
HOXD11 human tf ARCHS4 coexpression,11/27,14.79%,0.06918918575093962,-0.6378791975764467,-1.6438239229482112,CKB;MKI67;PRELID1;STUB1;SDCCAG3;UBE2M;SLC26A6;LRRC45;UBA1;LRP3;DHX37
CTCF human tf ARCHS4 coexpression,8/29,13.23%,0.06947083812428737,-0.5744756161228863,-1.6441114028204953,HSPD1;MKI67;UBFD1;ZCCHC3;KIF23;HMGB2;SLBP;ARHGAP19
ZNF821 human tf ARCHS4 coexpression,4/15,4.14%,0.0676061987444332,-0.6407236276770119,-1.6472944886432959,STMN1;FXYD6;BEX2;RTN3
PRRX2 human tf ARCHS4 coexpression,7/41,1.98%,0.06570941040975396,-0.5334367164224542,-1.649793856007502,CTSK;SPARC;IGFBP6;MMP14;SELM;EXT1;LGALS1
NOC4L human tf ARCHS4 coexpression,13/22,16.62%,0.06628079658723009,-0.6174630880633819,-1.650013726952876,COMTD1;PRELID1;TTLL12;AKT1S1;PTGES2;MFSD3;STUB1;TOP3B;HEBP2;SLBP;DHX37;POLRMT;NUP85
